Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"65,626,290,155","74,475,065,054",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"65,626,290,155","74,475,065,054",,
4. Giá vốn hàng bán,11,,"60,177,221,005","61,263,976,362",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"5,449,069,150","13,211,088,692",,
6. Doanh thu hoạt động tài chính,21,,"66,770,464","222,050,140",,
7. Chi phí tài chính,22,,"120,797,682","664,665,115",,
- Trong đó: Chi phí lãi vay,23,,"120,797,682","664,665,115",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"244,958,516","329,183,493",,
10. Chi phí quản lý doanh nghiệp,26,,"4,673,020,503","5,279,099,575",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"477,062,913","7,160,190,649",,
12. Thu nhập khác,31,,0,0,,
13. Chi phí khác,32,,"15,349,429",0,,
14. Lợi nhuận khác(40=31-32),40,,"-15,349,429",0,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"461,713,484","7,160,190,649",,
16. Chi phí thuế TNDN hiện hành,51,,"431,286,659","1,583,248,349",,
17. Chi phí thuế TNDN hoãn lại,52,,"-224,060,426","11,871,104",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"254,487,251","5,565,071,196",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,0,0,,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,21,440,,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
