Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"86,202,519,808","121,497,356,237",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"86,202,519,808","121,497,356,237",,
4. Giá vốn hàng bán,11,,"79,513,199,828","101,722,352,180",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"6,689,319,980","19,775,004,057",,
6. Doanh thu hoạt động tài chính,21,,"38,337,782","4,852,602",,
7. Chi phí tài chính,22,,"3,987,227,813","4,478,219,576",,
- Trong đó: Chi phí lãi vay,23,,"3,987,227,813","4,478,219,576",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"316,238,376","597,707,520",,
10. Chi phí quản lý doanh nghiệp,26,,"5,660,138,032","6,556,520,023",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-3,235,946,459","8,147,409,540",,
12. Thu nhập khác,31,,"33,980,426","111,455,100",,
13. Chi phí khác,32,,"118,393,498","1,282,040,084",,
14. Lợi nhuận khác(40=31-32),40,,"-84,413,072","-1,170,584,984",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"-3,320,359,531","6,976,824,556",,
16. Chi phí thuế TNDN hiện hành,51,,0,"1,082,523,683",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"-3,320,359,531","5,894,300,873",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,0,0,,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,-276,466,,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
