Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"69,050,343,414","117,722,991,416"
I. Tiền và các khoản tương đương tiền,110,,"7,414,372,789","42,021,763,845"
1. Tiền,111,,"414,372,789","421,763,845"
2. Các khoản tương đương tiền,112,,"7,000,000,000","41,600,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"22,502,337,841","40,108,699,288"
1. Phải thu ngắn hạn của khách hàng,131,,"18,823,653,580","21,276,794,660"
2. Trả trước cho người bán ngắn hạn,132,,"5,215,999,410","17,936,015,156"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"1,542,855,851","895,889,472"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-3,080,171,000",
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"37,735,302,698","34,257,289,187"
1. Hàng tồn kho,141,,"37,735,302,698","34,257,289,187"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"1,398,330,086","1,335,239,096"
1. Chi phí trả trước ngắn hạn,151,,"1,398,330,086","1,335,239,096"
2. Thuế GTGT được khấu trừ,152,,0,0
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"334,607,688,054","185,609,722,830"
I. Các khoản phải thu dài hạn,210,,"5,000,000","5,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"5,000,000","5,000,000"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"324,030,048,960","171,856,194,567"
1. Tài sản cố định hữu hình,221,,"323,849,775,024","171,680,906,592"
- Nguyên giá,222,,"521,897,035,207","355,378,653,786"
- Giá trị hao mòn lũy kế,223,,"-198,047,260,183","-183,697,747,194"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"180,273,936","175,287,975"
- Nguyên giá,228,,"336,516,165","313,633,827"
- Giá trị hao mòn lũy kế,229,,"-156,242,229","-138,345,852"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"3,167,523,891","4,663,206,325"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"3,167,523,891","4,663,206,325"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
