Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"147,710,008,880","170,485,965,728",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"147,710,008,880","170,485,965,728",,
4. Giá vốn hàng bán,11,,"127,864,169,217","146,020,202,409",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"19,845,839,663","24,465,763,319",,
6. Doanh thu hoạt động tài chính,21,,"379,777,436","248,973,031",,
7. Chi phí tài chính,22,,"979,813,645","1,964,896,153",,
- Trong đó: Chi phí lãi vay,23,,"979,813,645","1,964,896,153",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"2,748,646,292","2,416,994,740",,
10. Chi phí quản lý doanh nghiệp,26,,"9,883,918,642","11,645,838,435",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"6,613,238,520","8,687,007,022",,
12. Thu nhập khác,31,,"36,363,636","116,056,105",,
13. Chi phí khác,32,,0,"56,807,672",,
14. Lợi nhuận khác(40=31-32),40,,"36,363,636","59,248,433",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"6,649,602,156","8,746,255,455",,
16. Chi phí thuế TNDN hiện hành,51,,"1,822,163,739","1,611,411,119",,
17. Chi phí thuế TNDN hoãn lại,52,,"-72,532,604","148,314,006",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"4,899,971,021","6,986,530,330",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,388,553,,
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,,
