Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"85,246,383,789","117,722,991,416"
I. Tiền và các khoản tương đương tiền,110,,"25,817,171,431","42,021,763,845"
1. Tiền,111,,"7,617,171,431","421,763,845"
2. Các khoản tương đương tiền,112,,"18,200,000,000","41,600,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"23,444,657,646","40,108,699,288"
1. Phải thu ngắn hạn của khách hàng,131,,"18,128,376,100","21,276,794,660"
2. Trả trước cho người bán ngắn hạn,132,,"3,208,431,320","17,936,015,156"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"2,107,850,226","895,889,472"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"31,712,831,815","34,257,289,187"
1. Hàng tồn kho,141,,"31,712,831,815","34,257,289,187"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"4,271,722,897","1,335,239,096"
1. Chi phí trả trước ngắn hạn,151,,"1,752,303,676","1,335,239,096"
2. Thuế GTGT được khấu trừ,152,,"2,519,419,221",
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"336,346,696,289","185,609,722,830"
I. Các khoản phải thu dài hạn,210,,"5,000,000","5,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
