Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"25,694,230,867","53,231,671,488"
I. Tiền và các khoản tương đương tiền,110,,"2,341,273,785","15,763,500,649"
1. Tiền,111,,"341,273,785","313,500,649"
2. Các khoản tương đương tiền,112,,"2,000,000,000","15,450,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"6,225,025,544","24,391,562,793"
1. Phải thu ngắn hạn của khách hàng,131,,"9,228,295,300","27,026,205,307"
2. Trả trước cho người bán ngắn hạn,132,,"15,422,566","397,320,000"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"61,478,678","48,208,486"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-3,080,171,000","-3,080,171,000"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"16,808,154,928","12,848,191,421"
1. Hàng tồn kho,141,,"16,808,154,928","12,848,191,421"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"319,776,610","228,416,625"
1. Chi phí trả trước ngắn hạn,151,,"319,776,610","228,416,625"
2. Thuế GTGT được khấu trừ,152,,0,0
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"188,190,278,523","193,194,597,248"
I. Các khoản phải thu dài hạn,210,,0,0
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,0,0
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"186,585,946,189","188,852,299,811"
1. Tài sản cố định hữu hình,221,,"186,585,373,304","188,850,008,175"
- Nguyên giá,222,,"490,699,253,254","487,723,682,946"
- Giá trị hao mòn lũy kế,223,,"-304,113,879,950","-298,873,674,771"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"572,885","2,291,636"
- Nguyên giá,228,,"211,446,165","211,446,165"
- Giá trị hao mòn lũy kế,229,,"-210,873,280","-209,154,529"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,0,"2,968,845,308"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,0,"2,968,845,308"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"1,604,332,334","1,373,452,129"
1. Chi phí trả trước dài hạn,261,,"1,604,332,334","1,373,452,129"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"213,884,509,390","246,426,268,736"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"26,886,156,959","58,821,326,930"
I. Nợ ngắn hạn,310,,"25,959,854,965","57,828,754,384"
1. Phải trả người bán ngắn hạn,311,,"1,818,638,626","4,274,357,606"
2. Người mua trả tiền trước ngắn hạn,312,,0,0
3. Thuế và các khoản phải nộp nhà nước,313,,"19,947,249,274","48,266,165,772"
4. Phải trả người lao động,314,,"864,688,068","2,725,397,555"
5. Chi phí phải trả ngắn hạn,315,,"1,852,201,751","1,351,954,532"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"345,454,546","138,181,819"
9. Phải trả ngắn hạn khác,319,,"870,114,668","811,189,068"
10. Vay và nợ thuê tài chính ngắn hạn,320,,0,0
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"261,508,032","261,508,032"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"926,301,994","992,572,546"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,0,0
8. Vay và nợ thuê tài chính dài hạn,338,,0,0
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,"926,301,994","992,572,546"
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"186,998,352,431","187,604,941,806"
I. Vốn chủ sở hữu,410,,"186,998,352,431","187,604,941,806"
1. Vốn góp của chủ sở hữu,411,,"120,120,000,000","120,120,000,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"120,120,000,000","120,120,000,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,0,0
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,"27,919,729,439","27,919,729,439"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,"38,958,622,992","39,565,212,367"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"39,565,212,367","39,565,212,367"
- LNST chưa phân phối kỳ này,421b,,"-606,589,375",0
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"213,884,509,390","246,426,268,736"
