Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"28,072,626,833","30,892,070,564","28,072,626,833","30,892,070,564"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"28,072,626,833","30,892,070,564","28,072,626,833","30,892,070,564"
4. Giá vốn hàng bán,11,,"26,345,220,185","25,111,436,304","26,345,220,185","25,111,436,304"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"1,727,406,648","5,780,634,260","1,727,406,648","5,780,634,260"
6. Doanh thu hoạt động tài chính,21,,"44,837,036","165,838,199","44,837,036","165,838,199"
7. Chi phí tài chính,22,,"79,031,976","396,391,281","79,031,976","396,391,281"
- Trong đó: Chi phí lãi vay,23,,"79,031,976","396,391,281","79,031,976","396,391,281"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"121,412,004","256,259,408","121,412,004","256,259,408"
10. Chi phí quản lý doanh nghiệp,26,,"2,244,659,631","2,794,266,706","2,244,659,631","2,794,266,706"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-672,859,927","2,499,555,064","-672,859,927","2,499,555,064"
12. Thu nhập khác,31,,0,0,0,0
13. Chi phí khác,32,,0,0,0,0
14. Lợi nhuận khác(40=31-32),40,,0,0,0,0
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"-672,859,927","2,499,555,064","-672,859,927","2,499,555,064"
16. Chi phí thuế TNDN hiện hành,51,,0,"579,376,674",0,"579,376,674"
17. Chi phí thuế TNDN hoãn lại,52,,"-66,270,552","5,935,553","-66,270,552","5,935,553"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"-606,589,375","1,914,242,837","-606,589,375","1,914,242,837"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
