Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"71,886,980,762","63,272,249,535","150,191,794,985","139,691,797,929"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"71,886,980,762","63,272,249,535","150,191,794,985","139,691,797,929"
4. Giá vốn hàng bán,11,,"55,470,797,307","51,129,345,571","114,405,348,390","114,302,041,300"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"16,416,183,455","12,142,903,964","35,786,446,595","25,389,756,629"
6. Doanh thu hoạt động tài chính,21,,"2,117,872,183","2,030,028","2,445,691,724","191,549,731"
7. Chi phí tài chính,22,,"476,162,387","207,235,222","1,968,458,913","423,529,110"
- Trong đó: Chi phí lãi vay,23,,"325,726,027","207,194,358","687,164,383","423,488,246"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"96,912,302","161,526,944","416,275,190","2,477,127,967"
10. Chi phí quản lý doanh nghiệp,26,,"3,702,919,534","3,100,469,647","7,785,457,535","4,578,564,217"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"14,258,061,415","8,675,702,179","28,061,946,681","18,102,085,066"
12. Thu nhập khác,31,,"47,911,043","12,993,695","110,494,675","25,463,412"
13. Chi phí khác,32,,,,"56,348","165,000,000"
14. Lợi nhuận khác(40=31-32),40,,"47,911,043","12,993,695","110,438,327","-139,536,588"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"14,305,972,458","8,688,695,874","28,172,385,008","17,962,548,478"
16. Chi phí thuế TNDN hiện hành,51,,"1,091,622,709","651,652,191","2,131,603,650","1,405,416,085"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"13,214,349,749","8,037,043,683","26,040,781,358","16,557,132,393"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
