Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"801,849,689","4,865,361,827"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"15,714,297,888","15,670,043,600"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-219,765,643","-279,700,887"
- Chi phí lãi vay,06,,"404,858,324","908,264,526"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"16,701,240,258","21,163,969,066"
"- Tăng, giảm các khoản phải thu",09,,"21,294,417,086","617,652,160"
"- Tăng, giảm hàng tồn kho",10,,"-1,994,866,882","367,903,701"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-30,478,280,109","-29,000,371,722"
"- Tăng, giảm chi phí trả trước",12,,"365,620,907","866,376,412"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-380,268,612","-908,436,784"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-1,888,185,478","-1,586,951,690"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,"900,000"
- Tiền chi khác cho hoạt động kinh doanh,17,,0,"-349,500,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"3,619,677,170","-8,828,458,857"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-89,730,000","-233,850,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,"-3,100,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"219,765,643","279,700,887"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"130,035,643","-3,054,149,113"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"173,304,494,829","171,745,492,216"
4.Tiền chi trả nợ gốc vay,34,,"-136,838,441,274","-173,739,235,032"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-5,973,396,000","-12,005,136,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"30,492,657,555","-13,998,878,816"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"34,242,370,368","-25,881,486,786"
Tiền và tương đương tiền đầu kỳ,60,,"15,763,500,649","29,300,720,317"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"50,005,871,017","3,419,233,531"
