Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"70,267,905,392","92,842,090,123","286,069,769,714","296,068,525,474"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"70,267,905,392","92,842,090,123","286,069,769,714","296,068,525,474"
4. Giá vốn hàng bán,11,,"59,928,505,349","67,246,390,072","231,580,447,825","231,727,785,177"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"10,339,400,043","25,595,700,051","54,489,321,889","64,340,740,297"
6. Doanh thu hoạt động tài chính,21,,"241,301,590","173,186,404","2,770,601,949","366,024,772"
7. Chi phí tài chính,22,,"2,043,354,254","198,771,740","5,017,677,388","828,950,523"
- Trong đó: Chi phí lãi vay,23,,"2,039,352,345","123,871,049","3,732,380,949","742,475,192"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"240,364,119",0,"713,729,072","2,477,127,967"
10. Chi phí quản lý doanh nghiệp,26,,"4,770,452,960","3,952,737,580","19,294,356,994","12,033,588,404"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"3,526,530,300","21,617,377,135","32,234,160,384","49,367,098,175"
12. Thu nhập khác,31,,"23,091,489,639","307,208,693","26,207,584,569","355,956,708"
13. Chi phí khác,32,,"13,498,983,653","150,566,280","15,823,207,435","466,132,560"
14. Lợi nhuận khác(40=31-32),40,,"9,592,505,986","156,642,413","10,384,377,134","-110,175,852"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"13,119,036,286","21,774,019,548","42,618,537,518","49,256,922,323"
16. Chi phí thuế TNDN hiện hành,51,,"1,032,179,572","2,017,669,914","3,272,316,939","4,493,493,519"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"12,086,856,714","19,756,349,634","39,346,220,579","44,763,428,804"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
