Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"33,403,493,968","83,647,776,340"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"21,119,696,473","28,401,964,002"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"345,786","63,997,035"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-823,678,306","-83,076,402"
- Chi phí lãi vay,06,,"2,608,877,243","5,180,102,733"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"56,308,735,164","117,210,763,708"
"- Tăng, giảm các khoản phải thu",09,,"1,479,125,218","-26,009,145,354"
"- Tăng, giảm hàng tồn kho",10,,"175,244,591","-415,704,504"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-3,162,516,706","1,190,999,188"
"- Tăng, giảm chi phí trả trước",12,,"1,087,871,337","-1,942,575,378"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-2,756,255,529","-5,378,336,895"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-9,660,856,494","-2,474,078,245"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-1,592,836,400","-54,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"41,878,511,181","82,127,922,520"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-49,723,637","-3,281,150,000"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,"450,000,000"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"823,678,306","83,076,402"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"773,954,669","-2,748,073,598"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"33,326,503,792","41,637,998,281"
4.Tiền chi trả nợ gốc vay,34,,"-58,396,992,594","-87,906,109,777"
5.Tiền trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-36,705,468,750","-19,501,540,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-61,775,957,552","-65,769,651,496"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-19,123,491,702","13,610,197,426"
Tiền và tương đương tiền đầu kỳ,60,,"31,817,664,074","14,968,980,707"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"68,263","1,248,395"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"12,694,240,635","28,580,426,528"
