Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"27,458,413,378","16,451,745,894"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"14,200,982,001","16,957,696,958"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"37,241,378","-29,749,145"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"2,836,114,643","5,004,080,869"
- Chi phí lãi vay,06,,"2,914,111,721","5,012,104,464"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"47,446,863,121","43,395,879,040"
"- Tăng, giảm các khoản phải thu",09,,"1,933,339,367","6,904,772,543"
"- Tăng, giảm hàng tồn kho",10,,"-68,623,685","10,149,261"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-215,570,291","-7,349,607,020"
"- Tăng, giảm chi phí trả trước",12,,"720,694,308","346,331,813"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-2,940,217,496","-4,756,156,891"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-2,474,078,245","-4,157,583,032"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-54,000,000","-8,500,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"44,348,407,079","34,385,285,714"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,"-7,888,630"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"77,997,078","8,023,595"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"77,997,078","134,965"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"11,125,435,738","13,595,822,201"
4.Tiền chi trả nợ gốc vay,34,,"-40,335,394,529","-37,050,481,515"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-17,559,777,675","-644,003,775"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-46,769,736,466","-24,098,663,089"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-2,343,332,309","10,286,757,590"
Tiền và tương đương tiền đầu kỳ,60,,"14,968,980,707","5,156,620,199"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"12,625,648,398","15,443,377,789"
