Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"24,754,118,277","31,714,809,393"
I. Tiền và các khoản tương đương tiền,110,,"6,111,203,844","5,156,620,199"
1. Tiền,111,,"6,111,203,844","5,156,620,199"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"17,609,070,541","25,549,961,203"
1. Phải thu ngắn hạn của khách hàng,131,,"12,686,277,192","24,958,652,637"
2. Trả trước cho người bán ngắn hạn,132,,"1,681,579,500","294,570,000"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"3,241,213,849","296,738,566"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"944,145,753","933,247,201"
1. Hàng tồn kho,141,,"944,145,753","933,247,201"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"89,698,139","74,980,790"
1. Chi phí trả trước ngắn hạn,151,,"89,698,139","74,980,790"
2. Thuế GTGT được khấu trừ,152,,0,0
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"693,701,860,963","733,829,973,266"
I. Các khoản phải thu dài hạn,210,,"10,000,000","10,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"10,000,000","10,000,000"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"684,034,216,519","725,696,021,862"
1. Tài sản cố định hữu hình,221,,"684,034,216,519","725,696,021,862"
- Nguyên giá,222,,"1,306,927,528,669","1,301,082,063,196"
- Giá trị hao mòn lũy kế,223,,"-622,893,312,150","-575,386,041,334"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,0,0
- Nguyên giá,228,,0,0
- Giá trị hao mòn lũy kế,229,,0,0
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"5,084,402,540","5,353,355,188"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"5,084,402,540","5,353,355,188"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"4,573,241,904","2,770,596,216"
1. Chi phí trả trước dài hạn,261,,"4,049,490,550","2,287,572,761"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,"523,751,354","483,023,455"
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"718,455,979,240","765,544,782,659"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"171,538,491,199","250,118,663,631"
I. Nợ ngắn hạn,310,,"73,817,883,090","154,065,887,022"
1. Phải trả người bán ngắn hạn,311,,"2,909,598,224","2,696,593,710"
2. Người mua trả tiền trước ngắn hạn,312,,0,0
3. Thuế và các khoản phải nộp nhà nước,313,,"5,280,862,077","6,996,674,543"
4. Phải trả người lao động,314,,"1,482,244,995","6,590,731,662"
5. Chi phí phải trả ngắn hạn,315,,"894,961,149","1,012,903,829"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"698,746,099","1,224,276,233"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"59,505,782,794","131,658,718,293"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"3,045,687,752","3,885,988,752"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"97,720,608,109","96,052,776,609"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,0,0
8. Vay và nợ thuê tài chính dài hạn,338,,"97,720,608,109","96,052,776,609"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"546,917,488,041","515,426,119,028"
I. Vốn chủ sở hữu,410,,"546,917,488,041","515,426,119,028"
1. Vốn góp của chủ sở hữu,411,,"390,000,000,000","390,000,000,000"
