Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"33,848,755,633","46,405,290,171"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"47,507,270,816","52,443,908,491"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-318,853,137","309,767,697"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"13,359,435,943","20,273,412,564"
- Chi phí lãi vay,06,,"13,470,385,235","17,844,216,656"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"107,866,994,490","137,276,595,579"
"- Tăng, giảm các khoản phải thu",09,,"9,322,440,976","-6,989,732,444"
"- Tăng, giảm hàng tồn kho",10,,"-51,626,451","-181,300,802"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-5,140,135,248","6,670,928,021"
"- Tăng, giảm chi phí trả trước",12,,"-1,776,635,138","1,502,957,170"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-13,604,888,136","-19,048,639,664"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-4,157,583,032","-3,846,184,302"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-108,500,000","-89,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"92,350,067,461","115,295,623,558"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-1,001,337,962",0
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"110,949,292","6,839,854"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-890,388,670","6,839,854"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"37,155,980,763","38,755,185,389"
4.Tiền chi trả nợ gốc vay,34,,"-127,017,072,134","-121,455,105,988"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-644,003,775","-24,007,042,446"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-90,505,095,146","-106,706,963,045"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"954,583,645","8,595,500,367"
Tiền và tương đương tiền đầu kỳ,60,,"5,156,620,199","691,501,723"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"6,111,203,844","9,287,002,090"
