Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"74,726,400,560","79,238,419,851","148,872,594,964","156,645,827,332"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"74,726,400,560","79,238,419,851","148,872,594,964","156,645,827,332"
4. Giá vốn hàng bán,11,,"29,918,240,139","28,290,321,833","58,425,409,156","55,782,449,186"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"44,808,160,421","50,948,098,018","90,447,185,808","100,863,378,146"
6. Doanh thu hoạt động tài chính,21,,"245,986,704","95,533,291","275,352,611","123,248,755"
7. Chi phí tài chính,22,,"12,231,430,814","13,595,123,047","24,772,956,611","27,144,364,761"
- Trong đó: Chi phí lãi vay,23,,"12,231,430,814","13,595,123,047","24,770,527,611","27,144,364,761"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,0,0,0,0
10. Chi phí quản lý doanh nghiệp,26,,"11,876,150,566","1,172,722,856","12,807,989,389","2,255,747,825"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"20,946,565,745","36,275,785,406","53,141,592,419","71,586,514,315"
12. Thu nhập khác,31,,,,"263,636,364",
13. Chi phí khác,32,,"1,686,948","5,126,914","2,428,228","5,969,090"
14. Lợi nhuận khác(40=31-32),40,,"-1,686,948","-5,126,914","261,208,136","-5,969,090"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"20,944,878,797","36,270,658,492","53,402,800,555","71,580,545,225"
16. Chi phí thuế TNDN hiện hành,51,,"1,001,215,174","1,813,532,925","2,707,796,105","3,888,485,530"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"19,943,663,623","34,457,125,567","50,695,004,450","67,692,059,695"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
