Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"63,957,359,804","81,354,826,791","147,416,518,504","231,231,325,889"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"63,957,359,804","81,354,826,791","147,416,518,504","231,231,325,889"
4. Giá vốn hàng bán,11,,"29,197,695,591","35,792,689,029","74,652,657,177","94,383,909,625"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"34,759,664,213","45,562,137,762","72,763,861,327","136,847,416,264"
6. Doanh thu hoạt động tài chính,21,,"158,723,054","206,129,796","982,055,574","294,880,914"
7. Chi phí tài chính,22,,"877,456,574","2,075,362,436","3,486,333,817","7,448,840,130"
- Trong đó: Chi phí lãi vay,23,,"877,456,574","2,063,937,968","3,486,333,817","7,244,040,701"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,0,0,0,0
10. Chi phí quản lý doanh nghiệp,26,,"1,141,391,077","1,135,347,997","3,956,507,016","3,839,871,423"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"32,899,539,616","42,557,557,125","66,303,076,068","125,853,585,625"
12. Thu nhập khác,31,,0,0,0,"409,090,909"
13. Chi phí khác,32,,"2,703,845","119,775,011","2,746,329","134,151,264"
14. Lợi nhuận khác(40=31-32),40,,"-2,703,845","-119,775,011","-2,746,329","274,939,645"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"32,896,835,771","42,437,782,114","66,300,329,739","126,128,525,270"
16. Chi phí thuế TNDN hiện hành,51,,"2,088,587,025","2,485,528,977","4,210,388,478","8,053,166,899"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"30,808,248,746","39,952,253,137","62,089,941,261","118,075,358,371"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,684,976,"1,378","2,883"
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
