Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"66,300,329,739","126,128,525,270"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"31,674,509,068","41,387,051,486"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-5,428,384","67,855,215"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"2,509,706,627","6,545,743,594"
- Chi phí lãi vay,06,,"3,486,333,817","7,244,040,701"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"103,965,450,867","181,373,216,266"
"- Tăng, giảm các khoản phải thu",09,,"1,676,085,629","-12,464,983,171"
"- Tăng, giảm hàng tồn kho",10,,"114,333,417","-1,016,707,434"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"9,847,902,807","6,699,263,549"
"- Tăng, giảm chi phí trả trước",12,,"2,459,283,365","-1,326,586,778"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-3,667,597,630","-7,542,462,948"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-9,660,856,494","-2,555,896,427"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-100,000,000","-54,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"104,634,601,961","163,111,843,057"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-333,822,181",0
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"749,762,807","254,028,116"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"749,762,807","-79,794,065"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"33,066,676,585","40,692,261,239"
4.Tiền chi trả nợ gốc vay,34,,"-77,535,118,205","-121,633,771,698"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-44,486,264,250","-58,674,403,050"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-88,954,705,870","-139,615,913,509"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"16,429,658,898","23,416,135,483"
Tiền và tương đương tiền đầu kỳ,60,,"31,817,664,074","14,968,980,707"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"48,247,322,972","38,385,116,190"
