Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"33,403,493,968","83,690,743,156"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"21,119,696,473","28,401,964,002"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"345,786","63,997,035"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"1,785,198,937","4,687,935,422"
- Chi phí lãi vay,06,,"2,608,877,243","5,180,102,733"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"58,917,612,407","122,024,742,348"
"- Tăng, giảm các khoản phải thu",09,,"2,032,230,659","-25,602,731,819"
"- Tăng, giảm hàng tồn kho",10,,"175,244,591","-415,704,504"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"4,513,680,915","6,860,862,730"
"- Tăng, giảm chi phí trả trước",12,,"1,087,871,337","-1,942,575,378"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-2,756,255,529","-5,378,336,895"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-9,660,856,494","-2,474,078,245"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-50,000,000","-54,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"54,259,527,886","93,018,178,237"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,0,0
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"746,828,991","83,076,402"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"746,828,991","83,076,402"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"19,736,545,378","27,427,851,559"
4.Tiền chi trả nợ gốc vay,34,,"-58,396,992,594","-87,906,109,777"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-35,469,333,100","-19,011,550,600"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-74,129,780,316","-79,489,808,818"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-19,123,423,439","13,611,445,821"
Tiền và tương đương tiền đầu kỳ,60,,"31,817,664,074","14,968,980,707"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"12,694,240,635","28,580,426,528"
