Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"53,586,313,760","71,185,362,809"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"35,228,602,812","35,250,712,756"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"450,454,922","1,046,814,125"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-124,329,630","-256,165,045"
- Chi phí lãi vay,06,,"16,672,237,650","20,789,864,929"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"105,813,279,514","128,016,589,574"
"- Tăng, giảm các khoản phải thu",09,,"4,302,067,940","-12,389,975,061"
"- Tăng, giảm hàng tồn kho",10,,"790,020,000","6,079,123,366"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-3,528,890,808","-4,586,524,509"
"- Tăng, giảm chi phí trả trước",12,,"658,450,200","-9,075,113,220"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-16,854,773,074","-21,080,349,447"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-5,836,779,324","-6,289,938,339"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-1,614,021,350","-170,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"83,729,353,098","80,503,812,364"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-1,624,373,673","-2,293,916,687"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"124,329,630","256,165,045"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-1,500,044,043","-2,037,751,642"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"41,316,120,544","49,540,241,133"
4.Tiền chi trả nợ gốc vay,34,,"-87,565,939,123","-107,993,429,989"
5.Tiền trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-34,160,322,510","-64,016,877,300"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-80,410,141,089","-122,470,066,156"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"1,819,167,966","-44,004,005,434"
Tiền và tương đương tiền đầu kỳ,60,,"1,688,224,444","52,583,695,620"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,,"79,859"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"3,507,392,410","8,579,770,045"
