Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"83,647,776,340","30,501,520,676"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"28,401,964,002","32,855,804,195"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"63,997,035","-85,622,975"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-83,076,402","-105,695,900"
- Chi phí lãi vay,06,,"5,180,102,733","9,552,072,605"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"117,210,763,708","72,718,078,601"
"- Tăng, giảm các khoản phải thu",09,,"-26,009,145,354","-632,659,148"
"- Tăng, giảm hàng tồn kho",10,,"-415,704,504","-101,707,910"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"1,190,999,188","-4,478,961,801"
"- Tăng, giảm chi phí trả trước",12,,"-1,942,575,378","-2,256,434,464"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-5,378,336,895","-9,767,451,298"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-2,474,078,245","-4,157,583,032"
- Tiền thu khác từ hoạt động kinh doanh,16,,"6,000,000",0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-54,000,000","-740,301,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"82,127,922,520","50,588,979,948"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-3,281,150,000","-5,093,830,246"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"450,000,000",0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"83,076,402","105,695,900"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-2,748,073,598","-4,988,134,346"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"41,637,998,281","41,363,060,960"
4.Tiền chi trả nợ gốc vay,34,,"-87,906,109,777","-89,522,951,651"
5.Tiền trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-19,501,540,000","-644,000,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-65,769,651,496","-48,803,890,691"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"13,610,197,426","-3,203,045,089"
Tiền và tương đương tiền đầu kỳ,60,,"14,968,980,707","5,156,620,199"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"1,248,395","-138,251"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"28,580,426,528","1,953,436,859"
