Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"43,697,951,521","56,406,281,299"
I. Tiền và các khoản tương đương tiền,110,,"14,095,800,800","8,579,770,045"
1. Tiền,111,,"14,095,800,800","8,579,770,045"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"26,539,277,831","44,303,039,675"
1. Phải thu ngắn hạn của khách hàng,131,,"25,174,353,027","42,592,956,458"
2. Trả trước cho người bán ngắn hạn,132,,"320,459,240","396,537,500"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"1,044,465,564","1,313,545,717"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"1,719,339,340","1,719,339,340"
1. Hàng tồn kho,141,,"1,719,339,340","1,719,339,340"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"1,343,533,550","1,804,132,239"
1. Chi phí trả trước ngắn hạn,151,,"1,127,598,534","1,600,434,112"
2. Thuế GTGT được khấu trừ,152,,"215,935,016","203,698,127"
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"887,302,992,817","906,734,263,743"
I. Các khoản phải thu dài hạn,210,,"10,000,000","10,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"10,000,000","10,000,000"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"875,117,921,044","892,740,802,630"
1. Tài sản cố định hữu hình,221,,"875,117,921,044","892,740,802,630"
- Nguyên giá,222,,"1,294,046,595,684","1,294,046,595,684"
- Giá trị hao mòn lũy kế,223,,"-418,928,674,640","-401,305,793,054"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,0,0
- Nguyên giá,228,,0,0
- Giá trị hao mòn lũy kế,229,,0,0
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"2,144,153,345","3,034,170,605"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"2,144,153,345","3,034,170,605"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"10,030,918,428","10,949,290,508"
1. Chi phí trả trước dài hạn,261,,"10,030,918,428","10,949,290,508"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"931,000,944,338","963,140,545,042"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"470,184,234,897","485,421,416,698"
I. Nợ ngắn hạn,310,,"124,437,022,042","141,160,388,765"
1. Phải trả người bán ngắn hạn,311,,"6,565,838,442","5,390,700,228"
2. Người mua trả tiền trước ngắn hạn,312,,0,0
3. Thuế và các khoản phải nộp nhà nước,313,,"10,753,291,199","11,588,394,359"
4. Phải trả người lao động,314,,"1,967,491,825","2,456,346,928"
5. Chi phí phải trả ngắn hạn,315,,"1,833,458,055","970,494,722"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"30,892,603,084","11,929,292,838"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"69,811,174,880","106,196,995,133"
11. Dự phòng phải trả ngắn hạn,321,,0,
12. Quỹ khen thưởng phúc lợi,322,,"2,613,164,557","2,628,164,557"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"345,747,212,855","344,261,027,933"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,0,0
8. Vay và nợ thuê tài chính dài hạn,338,,"345,747,212,855","344,261,027,933"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"460,816,709,441","477,719,128,344"
I. Vốn chủ sở hữu,410,,"460,816,709,441","477,719,128,344"
1. Vốn góp của chủ sở hữu,411,,"390,000,000,000","390,000,000,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"390,000,000,000","390,000,000,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,0,0
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,"4,069,702,570","4,069,702,570"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,"66,747,006,871","83,649,425,774"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"44,649,425,774","41,763,837,411"
- LNST chưa phân phối kỳ này,421b,,"22,097,581,097","41,885,588,363"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"931,000,944,338","963,140,545,042"
