Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"316,748,960,872","308,645,435,323",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"316,748,960,872","308,645,435,323",,
4. Giá vốn hàng bán,11,,"143,717,963,500","132,936,395,706",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"173,030,997,372","175,709,039,617",,
6. Doanh thu hoạt động tài chính,21,,"826,240,986","465,862,322",,
7. Chi phí tài chính,22,,"42,085,517,254","47,903,205,106",,
- Trong đó: Chi phí lãi vay,23,,"39,284,590,636","47,898,429,868",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,0,0,,
10. Chi phí quản lý doanh nghiệp,26,,"8,112,974,400","7,568,772,163",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"123,658,746,704","120,702,924,670",,
12. Thu nhập khác,31,,"22,727,272","263,636,364",,
13. Chi phí khác,32,,"4,317,856","69,214,819",,
14. Lợi nhuận khác(40=31-32),40,,"18,409,416","194,421,545",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"123,677,156,120","120,897,346,215",,
16. Chi phí thuế TNDN hiện hành,51,,"6,447,967,232","6,289,938,339",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"117,229,188,888","114,607,407,876",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,"3,006","2,913",,
22. Lãi suy giảm trên cổ phiếu (*),71,,"3,006","2,913",,
