Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"196,112,715,847","230,297,046,449",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"196,112,715,847","230,297,046,449",,
4. Giá vốn hàng bán,11,,"116,811,328,302","131,945,190,379",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"79,301,387,545","98,351,856,070",,
6. Doanh thu hoạt động tài chính,21,,"463,123,760","1,272,558,842",,
7. Chi phí tài chính,22,,"17,125,948,546","26,129,060,013",,
- Trong đó: Chi phí lãi vay,23,,"17,063,677,366","24,906,316,461",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,0,0,,
10. Chi phí quản lý doanh nghiệp,26,,"4,942,466,662","4,860,644,036",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"57,696,096,097","68,634,710,863",,
12. Thu nhập khác,31,,0,0,,
13. Chi phí khác,32,,"3,411,962","886,578,789",,
14. Lợi nhuận khác(40=31-32),40,,"-3,411,962","-886,578,789",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"57,692,684,135","67,748,132,074",,
16. Chi phí thuế TNDN hiện hành,51,,"2,639,761,240","4,157,583,032",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"55,052,922,895","63,590,549,042",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,"1,409","1,631",,
22. Lãi suy giảm trên cổ phiếu (*),71,,"1,409","1,631",,
