Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"38,616,637,228","24,302,229,799"
I. Tiền và các khoản tương đương tiền,110,,"9,287,002,090","691,501,723"
1. Tiền,111,,"9,287,002,090","691,501,723"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"28,280,523,164","22,238,508,900"
1. Phải thu ngắn hạn của khách hàng,131,,"26,621,645,938","20,341,824,186"
2. Trả trước cho người bán ngắn hạn,132,,"458,761,000","1,400,170,000"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"1,200,116,226","496,514,714"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"938,461,631","989,699,884"
1. Hàng tồn kho,141,,"938,461,631","989,699,884"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"110,650,343","382,519,292"
1. Chi phí trả trước ngắn hạn,151,,"110,650,343","84,385,843"
2. Thuế GTGT được khấu trừ,152,,,"298,133,449"
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,0
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"747,753,394,595","799,293,951,243"
I. Các khoản phải thu dài hạn,210,,"16,000,000","10,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"16,000,000","10,000,000"
