Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"5,055,692,649","28,833,557,692"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"17,526,996,889","17,664,136,659"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"1,221,890,305","-36,225,400"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"7,637,037,664","8,551,034,636"
- Chi phí lãi vay,06,,"7,031,371,301","8,556,034,890"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"38,472,988,808","63,568,538,477"
"- Tăng, giảm các khoản phải thu",09,,"3,850,902,122","8,510,657,558"
"- Tăng, giảm hàng tồn kho",10,,"38,977,002","790,020,000"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"6,901,960,876","-8,704,172,888"
"- Tăng, giảm chi phí trả trước",12,,"848,468,758","1,815,136,296"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-6,348,839,306","-7,833,481,522"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-191,498,200","-5,160,472,825"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-84,000,000","-23,500,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"43,488,960,060","52,962,725,096"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,,"-1,452,273"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"1,407,718","5,000,254"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"1,407,718","3,547,981"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"10,520,152,918","13,156,895,363"
4.Tiền chi trả nợ gốc vay,34,,"-35,996,759,913","-61,296,527,292"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-18,570,549,805","-937,751,219"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-44,047,156,800","-49,077,383,148"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-556,789,022","3,888,889,929"
Tiền và tương đương tiền đầu kỳ,60,,"691,501,723","1,688,224,444"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"134,712,701","5,577,114,373"
