Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"124,211,859,605","120,897,346,215"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"70,509,272,837","70,432,801,973"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"2,228,708,459","-373,904,250"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"38,995,121,040","47,565,926,650"
- Chi phí lãi vay,06,,"39,284,590,636","47,898,429,868"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"275,229,552,577","286,420,600,456"
"- Tăng, giảm các khoản phải thu",09,,"909,952,935","16,234,381,079"
"- Tăng, giảm hàng tồn kho",10,,"6,038,563,366","-1,553,201,955"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-28,563,702,317","-54,293,267,542"
"- Tăng, giảm chi phí trả trước",12,,"-8,418,521,764","4,813,728,223"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-39,559,297,898","-51,408,513,393"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-8,030,444,607","-5,305,050,617"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-685,000,000","-1,924,400,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"196,921,102,292","192,984,276,251"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-59,345,453","-421,244,535"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,,"3,600,000,000"
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,,"3,600,000,000"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"266,742,324","68,866,854"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"207,396,871","6,847,622,319"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"82,382,122,346","103,097,340,693"
4.Tiền chi trả nợ gốc vay,34,,"-218,685,840,835","-183,388,252,960"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-111,720,251,850","-76,518,678,272"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-248,023,970,339","-156,809,590,539"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-50,895,471,176","43,022,308,031"
Tiền và tương đương tiền đầu kỳ,60,,"52,583,695,620","9,561,387,589"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"1,688,224,444","52,583,695,620"
