Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"70,737,106,667","74,146,194,404","70,737,106,667","74,146,194,404"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"70,737,106,667","74,146,194,404","70,737,106,667","74,146,194,404"
4. Giá vốn hàng bán,11,,"30,903,731,720","28,507,169,017","30,903,731,720","28,507,169,017"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"39,833,374,947","45,639,025,387","39,833,374,947","45,639,025,387"
6. Doanh thu hoạt động tài chính,21,,"20,818,161","29,365,907","20,818,161","29,365,907"
7. Chi phí tài chính,22,,"10,949,394,950","12,541,525,797","10,949,394,950","12,541,525,797"
- Trong đó: Chi phí lãi vay,23,,"10,575,449,793","12,539,096,797","10,575,449,793","12,539,096,797"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,0,0,0,0
10. Chi phí quản lý doanh nghiệp,26,,"1,873,046,920","931,838,823","1,873,046,920","931,838,823"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"27,031,751,238","32,195,026,674","27,031,751,238","32,195,026,674"
12. Thu nhập khác,31,,,"263,636,364",,"263,636,364"
13. Chi phí khác,32,,"318,911","741,280","318,911","741,280"
14. Lợi nhuận khác(40=31-32),40,,"-318,911","262,895,084","-318,911","262,895,084"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"27,031,432,327","32,457,921,758","27,031,432,327","32,457,921,758"
16. Chi phí thuế TNDN hiện hành,51,,"1,375,002,792","1,706,580,931","1,375,002,792","1,706,580,931"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"25,656,429,535","30,751,340,827","25,656,429,535","30,751,340,827"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,0,0,0
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
