Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"27,031,432,327","32,457,921,758"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"17,627,831,170","17,586,531,444"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"373,945,157",
"- Lãi, lỗ từ hoạt động đầu tư",05,,"10,554,946,894","12,259,335,530"
- Chi phí lãi vay,06,,"10,575,449,793","12,539,096,797"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"66,163,605,341","74,842,885,529"
"- Tăng, giảm các khoản phải thu",09,,"9,314,052,388","1,985,915,955"
"- Tăng, giảm hàng tồn kho",10,,"5,479,201,411","-790,020,000"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-18,142,161,858","-23,460,652,625"
"- Tăng, giảm chi phí trả trước",12,,"-3,150,373,156","2,274,406,672"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-9,715,198,377","-14,491,807,503"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-6,730,444,607","-5,305,050,617"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-150,000,000",
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"43,068,681,142","35,055,677,411"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-49,754,453",
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"20,502,899","16,124,903"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-29,251,554","16,124,903"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"21,245,266,346","11,209,377,787"
4.Tiền chi trả nợ gốc vay,34,,"-52,923,210,837","-26,689,278,136"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-17,059,398,800","-872,040,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-48,737,343,291","-16,351,940,349"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-5,697,913,703","18,719,861,965"
Tiền và tương đương tiền đầu kỳ,60,,"52,583,695,620","9,561,387,589"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"46,885,781,917","28,281,249,554"
