Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"61,791,182,293","123,677,156,120"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"70,242,617,119","70,509,272,837"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-73,979,650","2,228,708,459"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"30,467,942,529","-266,742,324"
- Chi phí lãi vay,06,,"32,204,502,093","39,284,590,636"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"194,632,264,384","235,432,985,728"
"- Tăng, giảm các khoản phải thu",09,,"12,151,676,645","-1,011,711,028"
"- Tăng, giảm hàng tồn kho",10,,"704,299,456","6,038,563,366"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-19,250,607,755","-5,846,511,090"
"- Tăng, giảm chi phí trả trước",12,,"4,209,390,322","-5,268,506,509"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-32,059,446,232","-39,557,697,898"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-5,160,472,825","-8,030,444,607"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-28,500,000","-685,000,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"155,198,603,995","181,071,677,962"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-141,459,436","-2,578,133,345"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"957,491,000",
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"131,690,425","266,742,324"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"947,721,989","-2,311,391,021"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"93,959,906,018","103,867,431,855"
4.Tiền chi trả nợ gốc vay,34,,"-197,454,507,280","-218,749,504,523"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-53,648,447,443","-114,773,846,200"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-157,143,048,705","-229,655,918,868"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-996,722,721","-50,895,631,927"
Tiền và tương đương tiền đầu kỳ,60,,"1,688,224,444","52,583,695,620"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,,"160,751"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"691,501,723","1,688,224,444"
