,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
0,1,Báo cáo tài chính quý 3/ 2024,CTCP Đầu tư phát triển Bắc Minh, ,17/10/2024 00:00:00,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý 3/ 2024,./crawl_table/SBM/Báo cáo tài chính quý 3_ 2024_17_10_2024 00_00_00
1,2,Báo cáo tài chính quý 2/ 2024,CTCP Đầu tư phát triển Bắc Minh, ,16/07/2024 00:00:00,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý 2/ 2024,./crawl_table/SBM/Báo cáo tài chính quý 2_ 2024_16_07_2024 00_00_00
2,3,Báo cáo tài chính quý 1/ 2024,CTCP Đầu tư phát triển Bắc Minh, ,19/04/2024 00:00:00,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý 1/ 2024,./crawl_table/SBM/Báo cáo tài chính quý 1_ 2024_19_04_2024 00_00_00
3,4,Báo cáo tài chính năm 2023,CTCP Đầu tư phát triển Bắc Minh, ,12/03/2024 00:00:00,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính năm 2023,./crawl_table/SBM/Báo cáo tài chính năm 2023_12_03_2024 00_00_00
4,5,Báo cáo tài chính Tổng hợp - Quý,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính niên độ Quý IV năm 2023,18/01/2024 14:50:56,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBM/Báo cáo tài chính niên độ Quý IV năm 2023_18_01_2024 14_50_56
5,6,Báo cáo tài chính Tổng hợp - Quý 3/ năm 2023,CTCP Đầu tư phát triển Bắc Minh,Toàn văn báo cáo tài chính niên độ Quý III năm 2023 và giải trình chênh lệch LNST Quý III/2023 so với Quý III/2022,18/10/2023 14:45:26,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý 3/ năm 2023,./crawl_table/SBM/Báo cáo tài chính Tổng hợp - Quý 3_ năm 2023_18_10_2023 14_45_26
6,7,Báo cáo tài chính Tổng hợp bán niên năm 2023,CTCP Đầu tư phát triển Bắc Minh,237/QLCĐ-SBM/CBTT, 236/CV-QLCĐ-SBM,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp bán niên năm 2023,./crawl_table/SBM/237_QLCĐ-SBM_CBTT_ 236_CV-QLCĐ-SBM
7,8,Báo cáo tài chính Tổng hợp - Quý,CTCP Đầu tư phát triển Bắc Minh,Toàn văn báo cáo tài chính Quý II năm 2023 và Giải trình chênh lệch Lợi nhuận sau thuế của Quý II/2023 so với Quý II/2022,19/07/2023 08:32:11,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBM/Báo cáo tài chính Tổng hợp - Quý_19_07_2023 08_32_11
8,9,Báo cáo tài chính Tổng hợp - Quý,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý I/2023 và Giải trình chênh lệch LNST Quý I/2023 so với Quý I/2022,18/04/2023 14:17:59,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBM/Báo cáo tài chính Tổng hợp - Quý_18_04_2023 14_17_59
9,10,Báo cáo tài chính tổng hợp năm 2022,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính năm 2022 đã được kiểm toán, Công văn giải trình chênh lệch lợi nhuận sau thuế năm 2022 so với năm 2021,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính tổng hợp năm 2022,./crawl_table/SBM/Báo cáo tài chính năm 2022 đã được kiểm toán_ Công văn giải trình chênh lệch lợi nhuận sau thuế năm 2022 so với năm 2021
10,11,Báo cáo tài chính Tổng hợp - Quý 4/ năm 2022,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính niên độ Quý IV năm 2022,16/01/2023 10:53:41,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý 4/ năm 2022,./crawl_table/SBM/Báo cáo tài chính niên độ Quý IV năm 2022_16_01_2023 10_53_41
11,12,Báo cáo tài chính Tổng hợp - Quý,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý III/2022,14/10/2022 13:38:57,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBM/Báo cáo tài chính Quý III_2022_14_10_2022 13_38_57
12,13,Báo cáo tài chính Tổng hợp bán niên năm 2022,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính bán niên năm 2022 đã được kiểm toán soát xét Công căn giải trình chênh lệch LNST bán niên năm 2022 so với bán niên năm 2021 của Công ty cổ phần đầu tư phát triển Bắc Minh,12/08/2022 14:23:04,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp bán niên năm 2022,./crawl_table/SBM/Báo cáo tài chính Tổng hợp bán niên năm 2022_12_08_2022 14_23_04
13,14,Báo cáo tài chính Tổng hợp - Quý,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính giữa niên độ Quý II năm 2022 và công văn giải trình Lợi nhuận sau thuế Quý II/2022 so với Quý II/2021,19/07/2022 11:08:09,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBM/Báo cáo tài chính Tổng hợp - Quý_19_07_2022 11_08_09
14,15,Báo cáo tài chính Tổng hợp - Quý,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý I năm 2022,19/04/2022 09:20:24,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBM/Báo cáo tài chính Quý I năm 2022_19_04_2022 09_20_24
15,16,Báo cáo tài chính Tổng hợp - Năm,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính năm 2021 đã kiểm toán,07/03/2022 08:22:29,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Năm,./crawl_table/SBM/Báo cáo tài chính năm 2021 đã kiểm toán_07_03_2022 08_22_29
16,17,Báo cáo tài chính Tổng hợp - Quý 3/ năm 2021,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý III/2021,20/10/2021 14:27:41,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý 3/ năm 2021,./crawl_table/SBM/Báo cáo tài chính Quý III_2021_20_10_2021 14_27_41
17,18,Báo cáo tài chính Tổng hợp - Bán niên,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính giữa niên độ 2021 đã kiểm toàn Giải trình chênh lệch LNST bán niên năm 2021 so với bán niên 2020,10/08/2021 16:17:51,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Bán niên,./crawl_table/SBM/Báo cáo tài chính Tổng hợp - Bán niên_10_08_2021 16_17_51
18,19,Báo cáo tài chính Tổng hợp - Quý 2/ năm 2021,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý II/2021 và Giải trình chênh lệch LNST Quý II/2021 so với Quý II/2020,15/07/2021 15:22:03,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý 2/ năm 2021,./crawl_table/SBM/Báo cáo tài chính Tổng hợp - Quý 2_ năm 2021_15_07_2021 15_22_03
19,20,Báo cáo tài chính Tổng hợp - Quý,CTCP Đầu tư phát triển Bắc Minh,1. Báo cáo tài chính Quý I/2021 2. Công văn 103/CV-QLCĐ-SBM ngày 16/4/2021 vv Giải trình chênh lệch LNST Quý I/2021 so với Quý I/2020,19/04/2021 10:44:06,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBM/Báo cáo tài chính Tổng hợp - Quý_19_04_2021 10_44_06
20,21,Báo cáo tài chính tổng hợp năm 2020,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính năm 2020 đã kiểm toán,04/03/2021 10:17:13,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính tổng hợp năm 2020,./crawl_table/SBM/Báo cáo tài chính năm 2020 đã kiểm toán_04_03_2021 10_17_13
21,22,Báo cáo tài chính Tổng hợp - Quý,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý IV/2020,19/01/2021 16:07:53,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp - Quý,./crawl_table/SBM/Báo cáo tài chính quý IV_2020_19_01_2021 16_07_53
22,23,Báo cáo tài chính Tổng hợp quý III/ 2020,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quy 3 năm 2020,16/10/2020 15:25:47,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý III/ 2020,./crawl_table/SBM/Báo cáo tài chính quy 3 năm 2020_16_10_2020 15_25_47
23,24,Báo cáo tài chính Tổng hợp bán niên 2020,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính giữa niên độ cho kỳ kế toán từ ngày 01/01/2020 đến ngày 30/06/2020 đã kiểm toán,12/08/2020 14:46:31,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp bán niên 2020,./crawl_table/SBM/Báo cáo tài chính Tổng hợp bán niên 2020_12_08_2020 14_46_31
24,25,Báo cáo tài chính Tổng hợp quý II/ 2020,CTCP Đầu tư phát triển Bắc Minh,BCTC quý II_2020_SBM,20/07/2020 16:31:40,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý II/ 2020,./crawl_table/SBM/BCTC quý II_2020_SBM_20_07_2020 16_31_40
25,26,Báo cáo tài chính Tổng hợp quý I/ 2020,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý 1/2020,17/04/2020 18:05:42,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý I/ 2020,./crawl_table/SBM/Báo cáo tài chính quý 1_2020_17_04_2020 18_05_42
26,27,Báo cáo tài chính Tổng hợp năm 2019,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính năm 2019 đã được kiểm toán của Công ty cổ phần đầu tư phát triển Bắc Minh,14/02/2020 14:19:28,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp năm 2019,./crawl_table/SBM/Báo cáo tài chính Tổng hợp năm 2019_14_02_2020 14_19_28
27,28,Báo cáo tài chính Tổng hợp quý IV/ 2019,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý Iv năm 2019 trước kiểm toán,20/01/2020 15:45:20,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý IV/ 2019,./crawl_table/SBM/Báo cáo tài chính quý Iv năm 2019 trước kiểm toán_20_01_2020 15_45_20
28,29,Báo cáo tài chính Tổng hợp quý III/ 2019,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý 3 năm 2019,21/10/2019 08:43:14,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý III/ 2019,./crawl_table/SBM/Báo cáo tài chính quý 3 năm 2019_21_10_2019 08_43_14
29,30,Báo cáo tài chính Tổng hợp bán niên 2019,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính giữa niên độ cho kỳ kế toán từ ngày 01/01/2019 đếnngày 30/06/2019 đã được kiểm toán soát xét,14/08/2019 10:18:48,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp bán niên 2019,./crawl_table/SBM/Báo cáo tài chính Tổng hợp bán niên 2019_14_08_2019 10_18_48
30,31,Báo cáo tài chính Tổng hợp quý II/ 2019,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý II năm 2019 Giải trình chênh lệch LNST Quý II/2019 so với Quý II/2018,24/07/2019 14:17:37,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý II/ 2019,./crawl_table/SBM/Báo cáo tài chính Tổng hợp quý II_ 2019_24_07_2019 14_17_37
31,32,Báo cáo tài chính Tổng hợp quý I/ 2019,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý I/2019 trước kiểm toán,25/04/2019 16:43:29,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý I/ 2019,./crawl_table/SBM/Báo cáo tài chính Quý I_2019 trước kiểm toán_25_04_2019 16_43_29
32,33,Báo cáo tài chính Tổng hợp năm 2018,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính năm 2018 đã kiểm toán (Mã SBM),12/03/2019 09:02:23,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp năm 2018,./crawl_table/SBM/Báo cáo tài chính năm 2018 đã kiểm toán (Mã SBM)_12_03_2019 09_02_23
33,34,Báo cáo tài chính Tổng hợp năm 2018,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính năm 2018 trước kiểm toán,29/01/2019 15:34:42,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp năm 2018,./crawl_table/SBM/Báo cáo tài chính năm 2018 trước kiểm toán_29_01_2019 15_34_42
34,35,Báo cáo tài chính Tổng hợp quý IV/ 2018,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý IV năm 2018 trước kiểm toán,21/01/2019 14:25:48,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý IV/ 2018,./crawl_table/SBM/Báo cáo tài chính quý IV năm 2018 trước kiểm toán_21_01_2019 14_25_48
35,36,Báo cáo tài chính Tổng hợp quý III/ 2018,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý II/2018 Giải trình chênh lệch LNST Quý III/2018 so với Quý III/2017,19/10/2018 14:17:13,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý III/ 2018,./crawl_table/SBM/Báo cáo tài chính Tổng hợp quý III_ 2018_19_10_2018 14_17_13
36,37,Báo cáo tài chính Tổng hợp bán niên 2018,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính bán niên năm 2018 đã kiểm toán,27/07/2018 15:48:36,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp bán niên 2018,./crawl_table/SBM/Báo cáo tài chính bán niên năm 2018 đã kiểm toán_27_07_2018 15_48_36
37,38,Báo cáo tài chính Tổng hợp quý II/ 2018,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý II/2018 trước kiểm toán (Mã CK: SBM),18/07/2018 15:59:36,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý II/ 2018,./crawl_table/SBM/Báo cáo tài chính Tổng hợp quý II_ 2018_18_07_2018 15_59_36
38,39,Báo cáo tài chính Tổng hợp quý I/ 2018,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính quý I/2018 trước kiểm toán,17/04/2018 15:31:18,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Tổng hợp quý I/ 2018,./crawl_table/SBM/Báo cáo tài chính quý I_2018 trước kiểm toán_17_04_2018 15_31_18
39,40,Báo cáo tài chính Riêng quý II/ 2017,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Quý 2 năm 2017 Công văn số: 150/CV-QLCĐ-SBM ngày 28/07/2017 về việc giải thích chênh lệch lợi nhuận sau thuế quý II/2017 so với quý II/2016,08/08/2017 09:09:42,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Riêng quý II/ 2017,./crawl_table/SBM/Báo cáo tài chính Riêng quý II_ 2017_08_08_2017 09_09_42
40,41,Báo cáo tài chính Riêng bán niên 2017,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính bán niên 2017 đã được kiểm toán Công văn số: 153/CV-QLCĐ-SBM ngày 03/08/2017 vv giải trình chênh lệch Lợi nhuận sau thuế Quý II/2017 so với Quý II/2016,07/08/2017 17:21:55,0102165522,CTCP Đầu tư phát triển Bắc Minh,Báo cáo tài chính Riêng bán niên 2017,./crawl_table/SBM/Báo cáo tài chính Riêng bán niên 2017_07_08_2017 17_21_55
