Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"283,223,330,763","295,947,538,486"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-43,220,361,251","-50,077,414,467"
3. Tiền chi trả cho người lao động,03,,"-82,125,219,318","-956,700,371,248"
4. Tiền lãi vay đã trả,04,,"-4,656,503,664","-3,905,028,927"
5. Thuế thu nhập doanh nghiệp đã nộp,05,,"-15,800,000,000","-49,000,000,000"
6. Tiền thu khác từ hoạt động kinh doanh,06,,"89,162,947,011","54,900,264,550"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-176,474,805,588","-253,491,329,549"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"50,109,387,953","-101,296,007,031"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-76,123,690,580","-46,626,714,222"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"44,679,904,440","69,538,625,250"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-83,000,000,000",0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"10,000,000,000",0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,"5,000,000,000","2,955,400,000"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"8,083,144,783","1,601,320,042"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-91,360,641,357","27,468,631,070"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3. Tiền thu từ đi vay,33,,"54,570,000,000","13,400,000,000"
4.Tiền chi trả nợ gốc vay,34,,"-62,500,000,000","-31,310,000,000"
5.Tiền chi trả nợ thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-7,930,000,000","-17,910,000,000"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-49,181,253,404","-91,737,375,961"
Tiền và tương đương tiền đầu kỳ,60,,"119,185,900,422","210,923,276,383"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"70,004,647,018","119,185,900,422"
