Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"375,058,019,915","258,879,588,461"
I. Tiền và các khoản tương đương tiền,110,,"210,893,181,158","156,213,171,705"
1. Tiền,111,,"19,393,181,158","36,213,171,705"
2. Các khoản tương đương tiền,112,,"191,500,000,000","120,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"100,000,000,000","50,000,000,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"100,000,000,000","50,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"30,658,016,713","22,010,464,795"
1. Phải thu ngắn hạn của khách hàng,131,,"17,955,276,265","29,322,419,335"
2. Trả trước cho người bán ngắn hạn,132,,0,0
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"12,702,740,448","12,178,845,460"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,"-19,490,800,000"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"33,457,000,000","30,358,000,000"
1. Hàng tồn kho,141,,"33,457,000,000","30,358,000,000"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"49,822,044","297,951,961"
1. Chi phí trả trước ngắn hạn,151,,"49,822,044","81,755,130"
2. Thuế GTGT được khấu trừ,152,,0,0
3. Thuế và các khoản khác phải thu Nhà nước,153,,0,"216,196,831"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"627,862,305,184","770,220,325,987"
I. Các khoản phải thu dài hạn,210,,"22,000,000,000","55,000,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"17,000,000,000",0
6. Phải thu dài hạn khác,216,,"35,509,200,000","55,000,000,000"
7. Dự phòng phải thu dài hạn khó đòi,219,,"-30,509,200,000",0
II.Tài sản cố định,220,,"368,665,561,119","416,072,499,243"
1. Tài sản cố định hữu hình,221,,"368,665,561,119","416,072,499,243"
- Nguyên giá,222,,"546,030,997,422","575,038,707,872"
- Giá trị hao mòn lũy kế,223,,"-177,365,436,303","-158,966,208,629"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,0,0
- Nguyên giá,228,,0,0
- Giá trị hao mòn lũy kế,229,,0,0
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"51,123,476,156","45,738,712,544"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"51,123,476,156","45,738,712,544"
V. Đầu tư tài chính dài hạn,250,,"15,000,000,000","8,000,000,000"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"15,000,000,000","8,000,000,000"
VI. Tài sản dài hạn khác,260,,"171,073,267,909","245,409,114,200"
1. Chi phí trả trước dài hạn,261,,"171,073,267,909","245,409,114,200"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"1,002,920,325,099","1,029,099,914,448"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"188,958,405,099","215,137,994,448"
I. Nợ ngắn hạn,310,,"177,331,102,717","195,510,692,066"
1. Phải trả người bán ngắn hạn,311,,"5,206,525,713","3,361,106,022"
2. Người mua trả tiền trước ngắn hạn,312,,"2,343,129,977","2,363,973,333"
3. Thuế và các khoản phải nộp nhà nước,313,,"25,824,980,700","32,744,753,321"
4. Phải trả người lao động,314,,"25,927,446,140","45,782,094,829"
5. Chi phí phải trả ngắn hạn,315,,"105,000,000","95,000,000"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"11,713,083,660","13,613,161,032"
10. Vay và nợ thuê tài chính ngắn hạn,320,,0,0
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"106,210,936,527","97,550,603,529"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"11,627,302,382","19,627,302,382"
1. Phải trả người bán dài hạn,331,,"11,627,302,382","11,627,302,382"
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,,"8,000,000,000"
8. Vay và nợ thuê tài chính dài hạn,338,,0,0
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"813,961,920,000","813,961,920,000"
I. Vốn chủ sở hữu,410,,"813,961,920,000","813,961,920,000"
1. Vốn góp của chủ sở hữu,411,,"813,961,920,000","813,961,920,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"813,961,920,000","813,961,920,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,0,0
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,0,0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,0,0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,0,0
