Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"-41,623,772,666","161,627,465,358"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-7,910,023,077","-110,961,138,781"
3. Tiền chi trả cho người lao động,03,,"-53,508,804,773","-51,474,786,806"
4. Tiền lãi vay đã trả,04,,0,0
5. Thuế thu nhập doanh nghiệp đã nộp,05,,"-13,435,228,635","-7,700,000,000"
6. Tiền thu khác từ hoạt động kinh doanh,06,,"4,971,237,058","47,635,647,049"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-36,458,566,700","-46,842,786,916"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"35,708,015,668","-7,715,600,096"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-3,496,161,113","-590,909,091"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"1,055,916,017","23,836,364"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,"-30,000,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"10,000,000,000",0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,"9,000,000,000",0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"3,291,002,699","1,982,615,844"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"19,850,757,603","-28,584,456,883"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,0,0
4.Tiền chi trả nợ gốc vay,34,,0,0
5.Tiền chi trả nợ thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,.37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,0,0
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"55,558,773,271","-36,300,056,979"
Tiền và tương đương tiền đầu kỳ,60,,"156,213,171,705","149,032,398,632"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"211,771,944,976","112,732,341,653"
