Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"91,959,072,692","82,925,364,496","246,210,196,859","246,933,399,128"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"91,959,072,692","82,925,364,496","246,210,196,859","246,933,399,128"
4. Giá vốn hàng bán,11,,"50,025,607,395","64,772,640,469","217,004,530,456","215,106,595,299"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"41,933,465,297","18,152,724,027","29,205,666,403","31,826,803,829"
6. Doanh thu hoạt động tài chính,21,,"12,422,428,540","9,830,385,427","26,923,286,693","18,343,076,587"
7. Chi phí tài chính,22,,"232,258,146","1,136,989,146","4,335,292,018","5,288,662,528"
- Trong đó: Chi phí lãi vay,23,,0,0,0,0
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"118,545,000","112,700,000","240,478,000","226,107,000"
10. Chi phí quản lý doanh nghiệp,26,,"8,731,004,182","15,750,747,928","22,697,636,188","53,964,636,793"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"45,274,086,509","10,982,672,380","28,855,546,890","-9,309,525,905"
12. Thu nhập khác,31,,"71,386,399,211","17,377,517,720","74,129,664,771","129,304,793,053"
13. Chi phí khác,32,,"35,224,245,842","-717,743,233","36,655,824,373","72,514,095,461"
14. Lợi nhuận khác(40=31-32),40,,"36,162,153,369","18,095,260,953","37,473,840,398","56,790,697,592"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"81,436,239,878","29,077,933,333","66,329,387,288","47,481,171,687"
16. Chi phí thuế TNDN hiện hành,51,,"11,324,831,615","4,685,641,707","11,324,831,615","8,287,053,566"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"70,111,408,263","24,392,291,626","55,004,555,673","39,194,118,121"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,398,71,212,130
22. Lãi suy giảm trên cổ phiếu (*),71,,398,71,212,130
