Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"361,785,282,024","407,949,226,045"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-70,274,072,602","-207,046,838,796"
3. Tiền chi trả cho người lao động,03,,"-105,400,938,923","-104,421,174,951"
4. Tiền lãi vay đã trả,04,,0,0
5. Thuế thu nhập doanh nghiệp đã nộp,05,,"-13,435,228,635","-7,700,000,000"
6. Tiền thu khác từ hoạt động kinh doanh,06,,"32,957,175,612","82,991,502,878"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-127,629,569,930","-100,543,707,243"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"78,002,647,546","71,229,007,933"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-14,420,838,253","-3,269,364,402"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"40,539,947,791","2,410,211,672"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-84,000,000,000","-50,000,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"20,000,000,000",0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,"27,844,000,000","3,500,000,000"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"7,295,757,984","9,809,886,147"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-2,741,132,478","-37,549,266,583"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,0,0
4.Tiền chi trả nợ gốc vay,34,,0,0
5.Tiền chi trả nợ thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-10,581,505,615","-26,498,968,277"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,.37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-10,581,505,615","-26,498,968,277"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"64,680,009,453","7,180,773,073"
Tiền và tương đương tiền đầu kỳ,60,,"156,213,171,705","149,032,398,632"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"220,893,181,158","156,213,171,705"
