Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"1,199,249,024","16,457,608,331","1,199,249,024","16,457,608,331"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"1,199,249,024","16,457,608,331","1,199,249,024","16,457,608,331"
4. Giá vốn hàng bán,11,,"248,914,476","9,867,529,975","248,914,476","9,867,529,975"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"950,334,548","6,590,078,356","950,334,548","6,590,078,356"
6. Doanh thu hoạt động tài chính,21,,"2,898,388,283","1,769,766,518","2,898,388,283","1,769,766,518"
7. Chi phí tài chính,22,,0,0,0,0
- Trong đó: Chi phí lãi vay,23,,0,0,0,0
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,0,"11,025,000",0,"11,025,000"
10. Chi phí quản lý doanh nghiệp,26,,"4,433,277,492","3,846,845,555","4,433,277,492","3,846,845,555"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-584,554,661","4,501,974,319","-584,554,661","4,501,974,319"
12. Thu nhập khác,31,,"2,123,119,000","300,000,000","2,123,119,000","300,000,000"
13. Chi phí khác,32,,"625,088,359","785,227,993","625,088,359","785,227,993"
14. Lợi nhuận khác(40=31-32),40,,"1,498,030,641","-485,227,993","1,498,030,641","-485,227,993"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"913,475,980","4,016,746,326","913,475,980","4,016,746,326"
16. Chi phí thuế TNDN hiện hành,51,,"183,895,196","803,949,265","183,895,196","803,949,265"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"729,580,784","3,212,797,061","729,580,784","3,212,797,061"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,0,26,0,26
22. Lãi suy giảm trên cổ phiếu (*),71,,0,26,0,26
