Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"78,138,872,067","88,797,951,947","164,008,034,632","158,669,732,751"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"78,138,872,067","88,797,951,947","164,008,034,632","158,669,732,751"
4. Giá vốn hàng bán,11,,"76,062,825,567","79,093,472,852","150,333,954,830","142,788,946,656"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"2,076,046,500","9,704,479,095","13,674,079,802","15,880,786,095"
6. Doanh thu hoạt động tài chính,21,,"672,953,461","311,662,229","8,512,691,160","3,085,401,357"
7. Chi phí tài chính,22,,"1,466,585,998",0,"4,151,637,382",0
- Trong đó: Chi phí lãi vay,23,,0,0,0,0
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"65,975,000","37,800,000","113,407,000","73,690,000"
10. Chi phí quản lý doanh nghiệp,26,,"12,612,244,258","5,708,816,139","38,213,888,865","15,089,457,199"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-11,395,805,295","4,269,525,185","-20,292,162,285","3,803,040,253"
12. Thu nhập khác,31,,"39,080,448,910","105,447,273","111,927,275,333","84,007,692,676"
13. Chi phí khác,32,,"26,251,778,332","2,724,334,049","73,231,838,694","55,977,941,173"
14. Lợi nhuận khác(40=31-32),40,,"12,828,670,578","-2,618,886,776","38,695,436,639","28,029,751,503"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"1,432,865,283","1,650,638,409","18,403,274,354","31,832,791,756"
16. Chi phí thuế TNDN hiện hành,51,,"207,337,245","314,653,032","3,601,411,859","7,009,222,351"
17. Chi phí thuế TNDN hoãn lại,52,,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"1,225,528,038","1,335,985,377","14,801,862,495","24,823,569,405"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,9,10,59,107
22. Lãi suy giảm trên cổ phiếu (*),71,,9,10,59,107
