Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"231,666,228,995","211,357,643,592"
I. Tiền và các khoản tương đương tiền,110,,"112,732,341,653","149,032,398,632"
1. Tiền,111,,"13,732,341,653","19,032,398,632"
2. Các khoản tương đương tiền,112,,"99,000,000,000","130,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"30,000,000,000",0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"30,000,000,000",0
III. Các khoản phải thu ngắn hạn,130,,"46,916,696,506","39,395,554,167"
1. Phải thu ngắn hạn của khách hàng,131,,"29,844,000,000","31,932,585,743"
2. Trả trước cho người bán ngắn hạn,132,,0,0
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"17,072,696,506","7,462,968,424"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"32,776,850,466","21,507,484,684"
1. Hàng tồn kho,141,,"32,776,850,466","21,507,484,684"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"9,240,340,370","1,422,206,109"
1. Chi phí trả trước ngắn hạn,151,,"658,319,125","1,246,495,763"
2. Thuế GTGT được khấu trừ,152,,"8,409,428,054",0
3. Thuế và các khoản khác phải thu Nhà nước,153,,"172,593,191","175,710,346"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"847,494,361,729","794,283,851,790"
I. Các khoản phải thu dài hạn,210,,"65,457,167,855","98,186,727,025"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,"9,376,465,872"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"65,457,167,855","88,810,261,153"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"442,632,141,195","459,432,125,577"
1. Tài sản cố định hữu hình,221,,"442,632,141,195","459,432,125,577"
- Nguyên giá,222,,"594,086,624,259","591,358,549,809"
- Giá trị hao mòn lũy kế,223,,"-151,454,483,064","-131,926,424,232"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,0,0
- Nguyên giá,228,,0,0
- Giá trị hao mòn lũy kế,229,,0,0
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"38,890,706,042","38,879,562,806"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"38,890,706,042","38,879,562,806"
V. Đầu tư tài chính dài hạn,250,,"8,000,000,000","8,000,000,000"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"8,000,000,000","8,000,000,000"
VI. Tài sản dài hạn khác,260,,"292,514,346,637","189,785,436,382"
1. Chi phí trả trước dài hạn,261,,"292,514,346,637","189,785,436,382"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"1,079,160,590,724","1,005,641,495,382"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"265,198,670,724","191,679,575,382"
I. Nợ ngắn hạn,310,,"171,060,912,463","156,134,810,284"
1. Phải trả người bán ngắn hạn,311,,"7,677,343,167","11,726,917,591"
2. Người mua trả tiền trước ngắn hạn,312,,"6,772,773,103","680,036,472"
3. Thuế và các khoản phải nộp nhà nước,313,,"50,052,976,822","22,854,821,570"
4. Phải trả người lao động,314,,"8,592,334,528","21,423,925,192"
5. Chi phí phải trả ngắn hạn,315,,"47,500,000","12,556,641,673"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"21,663,851,318","13,665,914,817"
10. Vay và nợ thuê tài chính ngắn hạn,320,,0,0
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"76,254,133,525","73,226,552,969"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"94,137,758,261","35,544,765,098"
1. Phải trả người bán dài hạn,331,,"86,137,758,261","11,627,302,382"
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,"8,000,000,000","23,917,462,716"
8. Vay và nợ thuê tài chính dài hạn,338,,0,0
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"813,961,920,000","813,961,920,000"
I. Vốn chủ sở hữu,410,,"813,961,920,000","813,961,920,000"
1. Vốn góp của chủ sở hữu,411,,"813,961,920,000","813,961,920,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"813,961,920,000","813,961,920,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,0,0
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,0,0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,0,0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,0,0
- LNST chưa phân phối kỳ này,421b,,0,0
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"1,079,160,590,724","1,005,641,495,382"
