Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"70,241,427,678","85,869,162,565",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"70,241,427,678","85,869,162,565",,
4. Giá vốn hàng bán,11,,"85,699,135,823","74,271,129,263",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"-15,457,708,145","11,598,033,302",,
6. Doanh thu hoạt động tài chính,21,,"14,571,889,793","7,839,737,699",,
7. Chi phí tài chính,22,,"2,240,354,917","2,685,087,384",,
- Trong đó: Chi phí lãi vay,23,,0,0,,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"33,747,000","47,432,000",,
10. Chi phí quản lý doanh nghiệp,26,,"9,370,305,250","25,601,644,607",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"-12,530,225,519","-8,896,392,990",,
12. Thu nhập khác,31,,"2,743,265,560","72,846,826,423",,
13. Chi phí khác,32,,"989,640,764","46,980,060,362",,
14. Lợi nhuận khác(40=31-32),40,,"1,753,624,796","25,866,766,061",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"-10,776,600,723","16,970,373,071",,
16. Chi phí thuế TNDN hiện hành,51,,0,"5,273,898,631",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"-10,776,600,723","11,696,474,440",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,0,0,,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,-132,39,,
22. Lãi suy giảm trên cổ phiếu (*),71,,-132,39,,
