Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"315,031,943,663","169,410,366,366",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"315,031,943,663","169,410,366,366",,
4. Giá vốn hàng bán,11,,"293,077,847,055","160,485,879,454",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"21,954,096,608","8,924,486,912",,
6. Doanh thu hoạt động tài chính,21,,"8,083,144,783","3,454,048,556",,
7. Chi phí tài chính,22,,"5,460,616,486","3,905,028,927",,
- Trong đó: Chi phí lãi vay,23,,"5,460,616,486","3,905,028,927",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"237,920,130","132,311,000",,
10. Chi phí quản lý doanh nghiệp,26,,"17,034,574,456","8,069,194,241",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"7,304,130,319","272,001,300",,
12. Thu nhập khác,31,,"100,011,467,448","120,555,653,089",,
13. Chi phí khác,32,,"64,619,246,048","49,230,072,510",,
14. Lợi nhuận khác(40=31-32),40,,"35,392,221,400","71,325,580,579",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"42,696,351,719","71,597,581,879",,
16. Chi phí thuế TNDN hiện hành,51,,"8,909,280,438","15,783,626,593",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"33,787,071,281","55,813,955,286",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,127,,,
22. Lãi suy giảm trên cổ phiếu (*),71,,127,,,
