Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"225,503,106,018","169,820,197,291"
I. Tiền và các khoản tương đương tiền,110,,"184,974,421,831","119,185,900,422"
1. Tiền,111,,"9,795,118,945","19,185,900,422"
2. Các khoản tương đương tiền,112,,"175,179,302,886","100,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,0,0
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,0
III. Các khoản phải thu ngắn hạn,130,,"5,024,848,771","5,751,787,599"
1. Phải thu ngắn hạn của khách hàng,131,,"136,877,071","2,080,762,123"
2. Trả trước cho người bán ngắn hạn,132,,0,0
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"4,887,971,700","3,671,025,476"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"33,733,766,771","43,067,214,437"
1. Hàng tồn kho,141,,"33,733,766,771","43,067,214,437"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"1,770,068,645","1,815,294,833"
1. Chi phí trả trước ngắn hạn,151,,"145,440,574","309,699,352"
2. Thuế GTGT được khấu trừ,152,,"1,333,327,689","693,693,503"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"291,300,382","811,901,978"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"849,693,586,580","871,538,459,044"
I. Các khoản phải thu dài hạn,210,,"88,810,261,153","88,810,261,153"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"88,810,261,153","88,810,261,153"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"474,774,059,041","446,120,798,310"
1. Tài sản cố định hữu hình,221,,"474,774,059,041","446,120,798,310"
- Nguyên giá,222,,"560,140,138,895","509,405,563,975"
- Giá trị hao mòn lũy kế,223,,"-85,366,079,854","-63,284,765,665"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,0,0
- Nguyên giá,228,,0,0
- Giá trị hao mòn lũy kế,229,,0,0
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"33,289,197,568","86,397,876,070"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"33,289,197,568","86,397,876,070"
V. Đầu tư tài chính dài hạn,250,,"51,910,637,199","48,910,637,199"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"48,910,637,199","48,910,637,199"
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"3,000,000,000",
VI. Tài sản dài hạn khác,260,,"200,909,431,619","201,298,886,312"
1. Chi phí trả trước dài hạn,261,,"200,909,431,619","201,298,886,312"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"1,075,196,692,598","1,041,358,656,335"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"261,234,772,598","227,396,729,753"
I. Nợ ngắn hạn,310,,"106,501,865,083","106,873,517,970"
1. Phải trả người bán ngắn hạn,311,,"1,564,072,915","1,521,452,958"
2. Người mua trả tiền trước ngắn hạn,312,,"17,907,042,850",
3. Thuế và các khoản phải nộp nhà nước,313,,"5,855,464,677","32,848,070,363"
4. Phải trả người lao động,314,,"6,633,146,420","7,412,781,481"
5. Chi phí phải trả ngắn hạn,315,,"339,085,787","410,903,969"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"40,962,171,201","7,169,775,803"
10. Vay và nợ thuê tài chính ngắn hạn,320,,,"7,500,000,000"
11. Dự phòng phải trả ngắn hạn,321,,,"740,011,236"
12. Quỹ khen thưởng phúc lợi,322,,"33,240,881,233","49,270,522,160"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"154,732,907,515","120,523,211,783"
1. Phải trả người bán dài hạn,331,,"24,839,676,039","40,199,980,307"
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,"30,323,231,476","30,323,231,476"
8. Vay và nợ thuê tài chính dài hạn,338,,"99,570,000,000","50,000,000,000"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"813,961,920,000","813,961,926,582"
I. Vốn chủ sở hữu,410,,"813,961,920,000","813,961,926,582"
1. Vốn góp của chủ sở hữu,411,,"813,961,920,000","813,961,926,582"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"813,961,920,000","813,961,926,582"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,0,0
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,0,0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,0,0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,0,0
- LNST chưa phân phối kỳ này,421b,,0,0
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"1,075,196,692,598","1,041,358,656,335"
