Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"104,387,224,312","89,943,867,784"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-15,489,792,755","-14,421,281,831"
3. Tiền chi trả cho người lao động,03,,"-52,883,833,578","-50,300,404,009"
4. Tiền lãi vay đã trả,04,,0,0
5. Tiền chi nộp thuế thu nhập doanh nghiệp,05,,"-12,106,088,639","-4,388,893,566"
6. Tiền thu khác từ hoạt động kinh doanh,06,,"7,323,664,781","8,604,025,434"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-52,881,979,472","-45,181,430,431"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-21,650,805,351","-15,744,116,619"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-1,906,654,545","-1,055,248,882"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"1,699,023,182",0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-70,551,691,691","-26,500,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"60,000,000,000","15,000,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"8,267,831,026","7,481,887,782"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-2,491,492,028","-5,073,361,100"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,0,0
4.Tiền chi trả nợ gốc vay,34,,0,0
5. Tiền chi trả nợ thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-17,861,989,460","-10,581,505,725"
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-17,861,989,460","-10,581,505,725"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-42,004,286,839","-31,398,983,444"
Tiền và tương đương tiền đầu kỳ,60,,"188,022,210,126","210,893,181,158"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"146,017,923,287","179,494,197,714"
