Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"105,235,873,993","84,009,696,489","180,665,623,603","154,251,124,167"
2. Các khoản giảm trừ doanh thu,02,,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"105,235,873,993","84,009,696,489","180,665,623,603","154,251,124,167"
4. Giá vốn hàng bán,11,,"90,205,752,150","81,279,787,238","168,479,467,892","166,978,923,061"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"15,030,121,843","2,729,909,251","12,186,155,711","-12,727,798,894"
6. Doanh thu hoạt động tài chính,21,,"2,183,813,497","-71,031,640","15,340,425,576","14,500,858,153"
7. Chi phí tài chính,22,,"1,769,126,624","1,862,678,955","4,056,936,275","4,103,033,872"
- Trong đó: Chi phí lãi vay,23,,0,0,0,0
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,0,0
9. Chi phí bán hàng,25,,"60,200,000","88,186,000","104,081,810","121,933,000"
10. Chi phí quản lý doanh nghiệp,26,,"1,824,770,128","4,596,326,756","12,289,715,857","13,966,632,006"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"13,559,838,588","-3,888,314,100","11,075,847,345","-16,418,539,619"
12. Thu nhập khác,31,,"489,608,000",0,"2,221,352,182","2,743,265,560"
13. Chi phí khác,32,,"-4,987,447,165","441,937,767","234,660,437","1,431,578,531"
14. Lợi nhuận khác(40=31-32),40,,"5,477,055,165","-441,937,767","1,986,691,745","1,311,687,029"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"19,036,893,753","-4,330,251,867","13,062,539,090","-15,106,852,590"
16. Chi phí thuế TNDN hiện hành,51,,"1,635,865,446",0,"1,635,865,446",0
17. Chi phí thuế TNDN hoãn lại,52,,0,0,"18,172,329",0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"17,401,028,307","-4,330,251,867","11,408,501,315","-15,106,852,590"
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,0,0
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,0,0
21. Lãi cơ bản trên cổ phiếu(*),70,,74,-53,0,-186
22. Lãi suy giảm trên cổ phiếu (*),71,,74,-53,0,-186
