Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"261,363,805,965","313,874,993,663",,
2. Các khoản giảm trừ doanh thu,02,,0,0,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"261,363,805,965","313,874,993,663",,
4. Giá vốn hàng bán,11,,"231,642,375,759","293,077,847,055",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"29,721,430,206","20,797,146,608",,
6. Doanh thu hoạt động tài chính,21,,"10,549,988,133","9,240,094,783",,
7. Chi phí tài chính,22,,"1,173,777,587","5,460,616,486",,
- Trong đó: Chi phí lãi vay,23,,"1,173,777,587","5,460,616,486",,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,0,0,,
9. Chi phí bán hàng,25,,"172,475,000","237,920,130",,
10. Chi phí quản lý doanh nghiệp,26,,"17,928,080,139","17,034,574,456",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"20,997,085,613","7,304,130,319",,
12. Thu nhập khác,31,,"35,410,365,919","47,768,512,880",,
13. Chi phí khác,32,,"14,136,485,490","12,376,291,480",,
14. Lợi nhuận khác(40=31-32),40,,"21,273,880,429","35,392,221,400",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"42,270,966,042","42,696,351,719",,
16. Chi phí thuế TNDN hiện hành,51,,"8,135,004,481","8,909,280,438",,
17. Chi phí thuế TNDN hoãn lại,52,,0,0,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"34,135,961,561","33,787,071,281",,
19. Lợi nhuận sau thuế công ty mẹ,61,,0,0,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,0,0,,
21. Lãi cơ bản trên cổ phiếu(*),70,,118,128,,
22. Lãi suy giảm trên cổ phiếu (*),71,,118,128,,
