Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"10,595,028,915,387","9,794,108,835,254"
I. Tiền và các khoản tương đương tiền,110,,"644,481,372,328","1,004,775,238,727"
1. Tiền,111,,"528,231,372,328","916,275,238,727"
2. Các khoản tương đương tiền,112,,"116,250,000,000","88,500,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"424,435,515,434","767,786,825,451"
1. Chứng khoán kinh doanh,121,,"47,029,737,930","165,370,489,390"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-12,639,222,496","-808,663,939"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"390,045,000,000","603,225,000,000"
III. Các khoản phải thu ngắn hạn,130,,"6,508,472,449,109","5,036,419,501,120"
1. Phải thu ngắn hạn của khách hàng,131,,"1,407,038,013,185","1,697,027,535,241"
2. Trả trước cho người bán ngắn hạn,132,,"2,564,663,514,141","1,946,736,551,586"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"24,831,093,700","15,000,000,000"
6. Phải thu ngắn hạn khác,136,,"2,542,980,390,350","1,425,093,673,613"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-31,040,562,267","-47,438,259,320"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"2,803,741,627,913","2,781,398,584,531"
1. Hàng tồn kho,141,,"2,805,683,780,027","2,803,564,311,503"
2. Dự phòng giảm giá hàng tồn kho,149,,"-1,942,152,114","-22,165,726,972"
V.Tài sản ngắn hạn khác,150,,"213,897,950,603","203,728,685,425"
1. Chi phí trả trước ngắn hạn,151,,"132,858,454,209","140,253,036,651"
2. Thuế GTGT được khấu trừ,152,,"64,168,063,860","51,414,140,996"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"16,871,432,534","12,061,507,778"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"7,804,863,142,803","6,949,187,500,459"
I. Các khoản phải thu dài hạn,210,,"142,434,657,181","146,094,934,345"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"93,777,343,253","109,158,380,150"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"48,657,313,928","36,936,554,195"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"4,196,277,912,900","4,352,308,080,526"
