Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"10,094,092,385,554","9,813,282,063,081"
I. Tiền và các khoản tương đương tiền,110,,"209,948,471,103","324,968,354,928"
1. Tiền,111,,"199,032,154,786","270,968,354,928"
2. Các khoản tương đương tiền,112,,"10,916,316,317","54,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"872,961,791,642","614,337,054,432"
1. Chứng khoán kinh doanh,121,,"30,849,760,691","147,759,126,842"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-784,469,049","-8,622,072,410"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"842,896,500,000","475,200,000,000"
III. Các khoản phải thu ngắn hạn,130,,"5,511,083,428,198","4,714,794,529,834"
1. Phải thu ngắn hạn của khách hàng,131,,"2,672,442,079,143","1,980,314,700,457"
2. Trả trước cho người bán ngắn hạn,132,,"2,422,669,868,430","2,327,714,818,742"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"43,823,611,083","215,317,000,000"
6. Phải thu ngắn hạn khác,136,,"431,327,038,986","266,865,229,237"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-59,179,169,444","-75,417,218,602"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"3,215,340,883,826","3,971,722,969,990"
1. Hàng tồn kho,141,,"3,226,088,093,164","4,009,377,285,392"
2. Dự phòng giảm giá hàng tồn kho,149,,"-10,747,209,338","-37,654,315,402"
V.Tài sản ngắn hạn khác,150,,"284,757,810,785","187,459,153,897"
1. Chi phí trả trước ngắn hạn,151,,"219,545,144,865","126,639,033,019"
2. Thuế GTGT được khấu trừ,152,,"44,260,269,989","45,214,465,625"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"20,952,395,931","15,605,655,253"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"7,152,694,604,304","7,880,275,890,655"
I. Các khoản phải thu dài hạn,210,,"202,028,960,344","542,698,458,694"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"153,795,792,554","129,111,796,826"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"48,233,167,790","413,586,661,868"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"4,316,241,286,843","4,698,440,525,940"
1. Tài sản cố định hữu hình,221,,"4,158,796,399,643","4,506,630,843,371"
- Nguyên giá,222,,"8,480,026,533,110","8,483,696,268,432"
