Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"2,519,351,620,453","2,745,148,128,474","8,183,427,212,790","8,229,515,041,247"
2. Các khoản giảm trừ doanh thu,02,,"12,957,603,768","13,954,457,881","18,762,266,167","29,752,018,661"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"2,506,394,016,685","2,731,193,670,593","8,164,664,946,623","8,199,763,022,586"
4. Giá vốn hàng bán,11,,"2,215,615,651,099","2,372,939,306,235","7,584,295,998,204","7,233,278,196,426"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"290,778,365,586","358,254,364,358","580,368,948,419","966,484,826,160"
6. Doanh thu hoạt động tài chính,21,,"348,204,019,089","168,107,399,427","811,379,227,459","602,058,675,648"
7. Chi phí tài chính,22,,"168,417,269,743","181,992,486,069","594,392,582,827","605,942,428,586"
- Trong đó: Chi phí lãi vay,23,,"157,205,779,065","132,729,075,727","524,056,335,096","516,754,584,332"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"3,987,920,180","2,255,964,359","6,286,942,730","59,889,872,815"
9. Chi phí bán hàng,25,,"94,567,045,631","82,451,357,530","274,073,682,135","232,308,837,686"
10. Chi phí quản lý doanh nghiệp,26,,"103,446,905,621","98,401,159,128","288,986,638,104","315,628,824,981"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"276,539,083,860","165,772,725,417","240,582,215,542","474,553,283,370"
12. Thu nhập khác,31,,"30,224,679,490","9,073,107,317","153,749,530,021","42,634,955,289"
13. Chi phí khác,32,,"20,345,312,574","16,005,613,087","44,054,055,970","31,012,968,940"
14. Lợi nhuận khác(40=31-32),40,,"9,879,366,916","-6,932,505,770","109,695,474,051","11,621,986,349"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"286,418,450,776","158,840,219,647","350,277,689,593","486,175,269,719"
16. Chi phí thuế TNDN hiện hành,51,,"774,731,711","22,544,173,216","71,679,027,028","93,348,838,647"
17. Chi phí thuế TNDN hoãn lại,52,,"1,496,274,110","-1,590,862,179","-7,629,011,855","-4,199,585,994"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"284,147,444,955","137,886,908,610","286,227,674,420","397,026,017,066"
19. Lợi nhuận sau thuế công ty mẹ,61,,"288,995,944,456","141,568,222,436","293,199,640,999","396,513,300,435"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-4,848,499,501","-3,681,313,827","-6,971,966,579","512,716,631"
21. Lãi cơ bản trên cổ phiếu(*),70,,459,262,466,718
22. Lãi suy giảm trên cổ phiếu (*),71,,459,262,466,718
