Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"10,152,104,049,171","4,472,667,304,183"
I. Tiền và các khoản tương đương tiền,110,,"324,999,775,008","202,593,033,644"
1. Tiền,111,,"270,999,775,008","202,593,033,644"
2. Các khoản tương đương tiền,112,,"54,000,000,000",
II. Các khoản đầu tư tài chính ngắn hạn,120,,"619,203,625,887","112,385,986,079"
1. Chứng khoán kinh doanh,121,,"147,759,126,842","115,587,852,769"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-3,755,500,955","-3,701,866,690"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"475,200,000,000","500,000,000"
III. Các khoản phải thu ngắn hạn,130,,"5,067,636,857,892","2,067,763,576,522"
1. Phải thu ngắn hạn của khách hàng,131,,"1,674,651,796,140","562,526,221,534"
2. Trả trước cho người bán ngắn hạn,132,,"2,278,968,819,380","1,161,739,185,942"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"215,317,000,000","285,800,000,000"
6. Phải thu ngắn hạn khác,136,,"971,426,532,105","97,453,892,875"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-72,833,805,144","-39,755,723,829"
8. Tài sản Thiếu chờ xử lý,139,,"106,515,411",
IV. Hàng tồn kho,140,,"3,899,442,101,728","1,958,094,882,102"
1. Hàng tồn kho,141,,"3,927,553,225,020","1,959,735,521,352"
2. Dự phòng giảm giá hàng tồn kho,149,,"-28,111,123,292","-1,640,639,250"
V.Tài sản ngắn hạn khác,150,,"240,821,688,656","131,829,825,836"
1. Chi phí trả trước ngắn hạn,151,,"125,778,081,137","63,048,737,092"
2. Thuế GTGT được khấu trừ,152,,"44,315,735,779","1,097,290,925"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"70,727,871,740","67,683,797,819"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"7,820,439,505,438","3,333,549,293,991"
I. Các khoản phải thu dài hạn,210,,"294,523,090,900","247,604,257,836"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"182,686,910,778","87,265,337,933"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,"200,000,000"
6. Phải thu dài hạn khác,216,,"111,836,180,122","160,138,919,903"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"4,745,567,431,551","1,442,294,352,074"
1. Tài sản cố định hữu hình,221,,"4,555,392,708,773","1,223,071,433,345"
- Nguyên giá,222,,"8,535,434,877,127","3,148,451,311,003"
- Giá trị hao mòn lũy kế,223,,"-3,980,042,168,354","-1,925,379,877,658"
2. Tài sản cố định thuê tài chính,224,,"119,133,104,380","62,692,225,631"
- Nguyên giá,225,,"151,725,361,276","73,767,448,385"
- Giá trị hao mòn lũy kế,226,,"-32,592,256,896","-11,075,222,754"
3. Tài sản cố định vô hình,227,,"71,041,618,398","156,530,693,098"
- Nguyên giá,228,,"105,538,348,721","172,777,949,697"
- Giá trị hao mòn lũy kế,229,,"-34,496,730,323","-16,247,256,599"
III. Bất động sản đầu tư,230,,"135,523,792,250","131,118,256,994"
- Nguyên giá,231,,"156,873,157,259","138,061,019,789"
- Giá trị hao mòn lũy kế,232,,"-21,349,365,009","-6,942,762,795"
IV. Tài sản dở dang dài hạn,240,,"199,660,117,187","78,656,574,346"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"199,660,117,187","78,656,574,346"
V. Đầu tư tài chính dài hạn,250,,"628,904,861,322","1,372,916,355,311"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"184,410,952,064","1,372,916,355,311"
3. Đầu tư góp vốn vào đơn vị khác,253,,"447,765,721,936","770,062,384"
4. Dự phòng đầu tư tài chính dài hạn,254,,"-3,271,812,678","-770,062,384"
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"1,816,260,212,229","60,959,497,430"
1. Chi phí trả trước dài hạn,261,,"1,533,647,632,913","44,416,155,370"
2. Tài sản thuế thu nhập hoãn lại,262,,"14,641,078,514","573,205,126"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,"400,000,000",
5. Lợi thế thương mại,269,,"267,571,500,802","15,970,136,934"
TỔNG CỘNG TÀI SẢN,270,,"17,972,543,554,609","7,806,216,598,174"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"11,685,318,907,432","4,692,717,742,777"
I. Nợ ngắn hạn,310,,"8,913,058,565,249","3,169,470,067,090"
1. Phải trả người bán ngắn hạn,311,,"478,950,269,096","125,823,866,896"
2. Người mua trả tiền trước ngắn hạn,312,,"180,572,847,601","90,045,951,574"
3. Thuế và các khoản phải nộp nhà nước,313,,"142,758,385,650","16,881,858,042"
4. Phải trả người lao động,314,,"25,623,134,180","8,634,282,071"
5. Chi phí phải trả ngắn hạn,315,,"158,708,625,363","54,505,220,916"
6. Phải trả nội bộ ngắn hạn,316,,0,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,
8. Doanh thu chưa thực hiện ngắn hạn,318,,"4,362,820,014","3,466,732,320"
9. Phải trả ngắn hạn khác,319,,"108,657,003,210","7,293,806,406"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"7,719,627,159,548","2,849,665,687,097"
11. Dự phòng phải trả ngắn hạn,321,,"17,956,318,867",0
12. Quỹ khen thưởng phúc lợi,322,,"75,842,001,720","13,152,661,768"
13. Quỹ bình ổn giá,323,,0,
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"2,772,260,342,182","1,523,247,675,687"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,"12,946,654,043","15,600,295,440"
7. Phải trả dài hạn khác,337,,"5,479,256,280","6,338,567,960"
8. Vay và nợ thuê tài chính dài hạn,338,,"2,663,078,670,338","1,501,308,812,287"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,"88,755,761,521",0
12. Dự phòng phải trả dài hạn,342,,,0
13. Quỹ phát triển khoa học và công nghệ,343,,"2,000,000,000",0
D.VỐN CHỦ SỞ HỮU,400,,"6,287,224,647,178","3,113,498,855,397"
I. Vốn chủ sở hữu,410,,"6,286,888,335,873","3,113,498,855,397"
1. Vốn góp của chủ sở hữu,411,,"5,570,186,730,000","2,531,882,680,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"5,570,186,730,000","2,531,882,680,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"6,243,045,915,565","75,894,194,065"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,"-5,398,368,862,006",0
5. Cổ phiếu quỹ,415,,"-1,099,985,561,092",0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,"-35,356,630,563","6,812,245,007"
8. Quỹ đầu tư phát triển,418,,"64,102,121,297","39,217,460,174"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,"504,089,049",0
11. Lợi nhuận sau thuế chưa phân phối,421,,"887,931,874,328","447,942,629,859"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"341,655,487,689","111,025,631,641"
- LNST chưa phân phối kỳ này,421b,,"546,276,386,639","336,916,998,218"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,"54,828,659,295","11,749,646,292"
II. Nguồn kinh phí và quỹ khác,430,,"336,311,305",0
1. Nguồn kinh phí,431,,"336,311,305",0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"17,972,543,554,610","7,806,216,598,174"
