Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"2,237,648,691,025","1,281,281,829,666","10,467,163,732,272","4,502,976,571,901"
2. Các khoản giảm trừ doanh thu,02,,"73,143,013,333","169,337,725","102,895,031,994","4,593,193,827"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"2,164,505,677,692","1,281,112,491,941","10,364,268,700,278","4,498,383,378,074"
4. Giá vốn hàng bán,11,,"1,830,448,437,870","1,093,200,052,468","9,063,726,634,296","3,884,365,645,355"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"334,057,239,822","187,912,439,473","1,300,542,065,982","614,017,732,719"
6. Doanh thu hoạt động tài chính,21,,"119,499,731,152","50,036,823,041","721,558,406,801","221,886,524,205"
7. Chi phí tài chính,22,,"186,520,666,363","80,268,477,474","792,463,094,949","280,225,773,821"
- Trong đó: Chi phí lãi vay,23,,"192,316,765,745","74,293,225,417","709,071,350,077","256,785,222,928"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"2,638,597,197","-2,288,335,736","62,528,470,012","40,212,488,665"
9. Chi phí bán hàng,25,,"75,170,301,549","30,273,957,966","307,479,139,235","87,356,899,046"
10. Chi phí quản lý doanh nghiệp,26,,"123,569,141,019","45,778,518,800","439,197,965,999","149,592,462,244"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"70,935,459,240","79,339,972,538","545,488,742,612","358,941,610,478"
12. Thu nhập khác,31,,"269,715,835,156","7,253,485,369","312,350,790,445","18,912,677,772"
13. Chi phí khác,32,,"144,456,440,981","4,254,778,875","175,469,409,921","10,375,487,711"
14. Lợi nhuận khác(40=31-32),40,,"125,259,394,175","2,998,706,494","136,881,380,524","8,537,190,061"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"196,194,853,415","82,338,679,032","682,370,123,136","367,478,800,539"
16. Chi phí thuế TNDN hiện hành,51,,"54,836,343,867","2,001,465,100","148,185,182,514","27,895,746,430"
17. Chi phí thuế TNDN hoãn lại,52,,"-8,325,845,350",0,"-12,525,431,344","278,190,193"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"149,684,354,898","80,337,213,932","546,710,371,966","339,304,863,916"
19. Lợi nhuận sau thuế công ty mẹ,61,,"150,511,951,055","80,110,611,758","547,025,251,490","339,791,620,863"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-827,596,157","226,602,175","-314,879,526","-486,756,947"
21. Lãi cơ bản trên cổ phiếu(*),70,,288,283,"1,112","1,182"
22. Lãi suy giảm trên cổ phiếu (*),71,,0,0,0,0
