Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"12,418,476,317,336","10,030,796,116,425"
I. Tiền và các khoản tương đương tiền,110,,"600,805,350,496","999,620,661,512"
1. Tiền,111,,"375,221,029,221","799,320,661,512"
2. Các khoản tương đương tiền,112,,"225,584,321,275","200,300,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"1,584,594,487,721","899,284,845,919"
1. Chứng khoán kinh doanh,121,,"702,422,970,697","403,156,950,516"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-27,148,865,299","-43,067,104,597"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"909,320,382,323","539,195,000,000"
III. Các khoản phải thu ngắn hạn,130,,"5,906,192,176,924","5,447,159,078,206"
1. Phải thu ngắn hạn của khách hàng,131,,"1,005,050,411,308","1,026,526,902,684"
2. Trả trước cho người bán ngắn hạn,132,,"3,187,836,878,197","2,522,123,757,499"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"272,838,444","673,291,034"
6. Phải thu ngắn hạn khác,136,,"1,750,911,848,483","1,937,434,918,704"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-37,879,799,508","-39,599,791,715"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"4,104,666,629,728","2,529,346,657,059"
1. Hàng tồn kho,141,,"4,109,781,088,256","2,541,154,800,749"
2. Dự phòng giảm giá hàng tồn kho,149,,"-5,114,458,528","-11,808,143,690"
V.Tài sản ngắn hạn khác,150,,"222,217,672,467","155,384,873,729"
1. Chi phí trả trước ngắn hạn,151,,"76,080,327,588","48,619,538,175"
2. Thuế GTGT được khấu trừ,152,,"101,271,374,195","92,081,678,271"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"44,865,970,684","14,683,657,283"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"8,045,035,137,553","7,924,922,667,487"
I. Các khoản phải thu dài hạn,210,,"115,340,438,819","101,806,889,451"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"89,165,746,845","92,623,661,450"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"26,174,691,974","9,183,228,001"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"4,094,517,412,963","4,179,804,562,879"
1. Tài sản cố định hữu hình,221,,"3,680,701,471,972","3,844,903,217,562"
- Nguyên giá,222,,"8,595,736,132,884","8,484,840,315,880"
- Giá trị hao mòn lũy kế,223,,"-4,915,034,660,912","-4,639,937,098,318"
2. Tài sản cố định thuê tài chính,224,,"93,674,055,536","108,160,541,664"
- Nguyên giá,225,,"108,610,745,866","140,481,291,500"
- Giá trị hao mòn lũy kế,226,,"-14,936,690,330","-32,320,749,836"
3. Tài sản cố định vô hình,227,,"320,141,885,455","226,740,803,653"
- Nguyên giá,228,,"391,332,792,864","284,497,398,107"
- Giá trị hao mòn lũy kế,229,,"-71,190,907,409","-57,756,594,454"
III. Bất động sản đầu tư,230,,"580,975,189,181","592,437,897,729"
- Nguyên giá,231,,"634,219,724,367","638,075,095,511"
- Giá trị hao mòn lũy kế,232,,"-53,244,535,186","-45,637,197,782"
IV. Tài sản dở dang dài hạn,240,,"422,309,411,698","341,526,808,768"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"422,309,411,698","341,526,808,768"
V. Đầu tư tài chính dài hạn,250,,"1,390,819,690,693","1,245,605,087,900"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"367,109,692,914","381,424,975,548"
3. Đầu tư góp vốn vào đơn vị khác,253,,"934,253,514,481","767,001,478,655"
4. Dự phòng đầu tư tài chính dài hạn,254,,"-1,223,516,702","-2,001,366,303"
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"90,680,000,000","99,180,000,000"
VI. Tài sản dài hạn khác,260,,"1,441,072,994,199","1,463,741,420,760"
1. Chi phí trả trước dài hạn,261,,"1,307,353,654,556","1,319,693,751,650"
2. Tài sản thuế thu nhập hoãn lại,262,,"15,142,013,744","10,072,275,631"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,"118,577,325,899","133,975,393,479"
TỔNG CỘNG TÀI SẢN,270,,"20,463,511,454,889","17,955,718,783,912"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"12,263,319,449,853","10,313,417,423,502"
I. Nợ ngắn hạn,310,,"9,286,427,272,213","8,807,443,159,566"
1. Phải trả người bán ngắn hạn,311,,"1,157,067,822,185","585,381,760,110"
2. Người mua trả tiền trước ngắn hạn,312,,"287,291,876,373","145,426,604,808"
3. Thuế và các khoản phải nộp nhà nước,313,,"122,619,832,468","178,370,150,839"
4. Phải trả người lao động,314,,"13,822,962,054","16,613,110,146"
5. Chi phí phải trả ngắn hạn,315,,"420,148,668,839","361,548,318,820"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"54,006,812,889","6,317,162,616"
9. Phải trả ngắn hạn khác,319,,"111,644,448,758","394,675,252,848"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"7,032,872,197,363","6,989,555,523,295"
11. Dự phòng phải trả ngắn hạn,321,,"232,568,167","363,858,167"
12. Quỹ khen thưởng phúc lợi,322,,"86,720,083,117","129,191,417,917"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"2,976,892,177,640","1,505,974,263,936"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,"9,632,105,054","5,575,597,730"
7. Phải trả dài hạn khác,337,,"6,338,166,372","6,310,971,782"
8. Vay và nợ thuê tài chính dài hạn,338,,"2,689,480,779,983","1,221,069,938,518"
9. Trái phiếu chuyển đổi,339,,"156,378,920,621","152,294,181,382"
