Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"3,188,755,486,959","2,980,904,735,797","10,760,315,679,440","9,138,093,860,419"
2. Các khoản giảm trừ doanh thu,02,,"7,407,756,196","6,154,203,721","11,212,418,509","16,105,976,847"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"3,181,347,730,763","2,974,750,532,076","10,749,103,260,931","9,121,987,883,572"
4. Giá vốn hàng bán,11,,"2,674,656,632,211","2,450,582,038,375","9,241,001,496,102","8,231,288,755,394"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"506,691,098,552","524,168,493,701","1,508,101,764,829","890,699,128,178"
6. Doanh thu hoạt động tài chính,21,,"76,563,161,088","65,032,563,112","278,552,130,708","642,534,201,083"
7. Chi phí tài chính,22,,"138,712,296,907","227,217,197,459","564,507,562,131","645,776,427,822"
- Trong đó: Chi phí lãi vay,23,,"102,943,539,785","140,922,218,940","453,685,084,941","456,984,943,106"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"4,431,645,091","4,608,285,095","17,350,625,941","-1,604,907,787"
9. Chi phí bán hàng,25,,"110,451,133,975","145,365,453,393","391,368,474,267","338,471,016,078"
10. Chi phí quản lý doanh nghiệp,26,,"108,254,981,262","105,800,643,080","284,354,437,528","302,813,094,687"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"230,267,492,587","115,426,047,976","563,774,047,552","244,567,882,887"
12. Thu nhập khác,31,,"26,109,769,992","8,294,063,255","45,205,206,051","28,372,669,337"
13. Chi phí khác,32,,"15,580,941,082","12,189,946,422","35,328,223,170","43,768,085,443"
14. Lợi nhuận khác(40=31-32),40,,"10,528,828,910","-3,895,883,167","9,876,982,881","-15,395,416,106"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"240,796,321,497","111,530,164,809","573,651,030,433","229,172,466,781"
16. Chi phí thuế TNDN hiện hành,51,,"40,828,307,069","16,320,908,583","86,431,740,629","80,662,786,294"
17. Chi phí thuế TNDN hoãn lại,52,,"-13,993,750,632","-664,384,006","-13,686,986,883","1,122,170,544"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"213,961,765,060","95,873,640,232","500,906,276,687","147,387,509,943"
19. Lợi nhuận sau thuế công ty mẹ,61,,"213,629,616,954","73,489,314,603","493,701,420,848","131,164,445,249"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"332,148,106","22,384,325,629","7,204,855,839","16,223,064,695"
21. Lãi cơ bản trên cổ phiếu(*),70,,288,17,784,194
22. Lãi suy giảm trên cổ phiếu (*),71,,263,17,713,190
