Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"6,171,519,158,517","5,721,411,106,007","19,573,505,816,323","17,981,986,828,630"
2. Các khoản giảm trừ doanh thu,02,,"12,323,224,317","11,222,874,518","29,069,344,728","35,701,455,399"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"6,159,195,934,200","5,710,188,231,489","19,544,436,471,595","17,946,285,373,231"
4. Giá vốn hàng bán,11,,"5,373,779,155,598","5,050,860,234,477","17,331,997,733,915","16,091,104,947,542"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"785,416,778,602","659,327,997,012","2,212,438,737,680","1,855,180,425,689"
6. Doanh thu hoạt động tài chính,21,,"300,855,996,493","304,855,395,028","1,128,134,593,469","857,306,036,304"
7. Chi phí tài chính,22,,"499,295,146,098","502,482,007,295","1,617,413,251,978","1,205,218,637,698"
- Trong đó: Chi phí lãi vay,23,,"416,530,573,284","405,712,095,757","1,304,023,674,678","967,427,811,560"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"-10,668,614,461","-11,189,992,455","5,931,526,250","-15,886,388,598"
9. Chi phí bán hàng,25,,"205,490,384,783","155,136,796,463","544,188,601,721","472,630,642,329"
10. Chi phí quản lý doanh nghiệp,26,,"182,585,467,116","164,430,209,191","497,983,550,106","443,662,078,663"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"188,233,162,637","130,944,386,636","686,919,453,594","575,088,714,705"
12. Thu nhập khác,31,,"36,272,115,048","29,409,054,921","76,286,459,006","74,697,511,265"
13. Chi phí khác,32,,"23,503,151,873","7,922,526,423","81,291,431,527","65,024,628,940"
14. Lợi nhuận khác(40=31-32),40,,"12,768,963,175","21,486,528,498","-5,004,972,521","9,672,882,325"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"201,002,125,812","152,430,915,134","681,914,481,073","584,761,597,030"
16. Chi phí thuế TNDN hiện hành,51,,"31,156,256,091","4,030,682,662","108,886,003,513","54,438,891,692"
17. Chi phí thuế TNDN hoãn lại,52,,"-17,729,933,454","-4,487,342,623","-8,794,106,793","-2,854,276,276"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"187,575,803,175","152,887,575,095","581,822,584,353","533,176,981,614"
19. Lợi nhuận sau thuế công ty mẹ,61,,"204,351,792,330","149,389,092,836","553,207,992,278","470,538,470,764"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-16,775,989,155","3,498,482,259","28,614,592,075","62,638,510,850"
21. Lãi cơ bản trên cổ phiếu(*),70,,230,183,642,579
22. Lãi suy giảm trên cổ phiếu (*),71,,230,183,642,579
