Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"9,686,320,356,857","9,813,282,063,081"
I. Tiền và các khoản tương đương tiền,110,,"699,585,577,995","324,968,354,928"
1. Tiền,111,,"645,457,676,189","270,968,354,928"
2. Các khoản tương đương tiền,112,,"54,127,901,806","54,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"906,269,124,464","614,337,054,432"
1. Chứng khoán kinh doanh,121,,"44,232,580,057","147,759,126,842"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-5,483,122,260","-8,622,072,410"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"867,519,666,667","475,200,000,000"
III. Các khoản phải thu ngắn hạn,130,,"4,972,260,660,165","4,714,794,529,834"
1. Phải thu ngắn hạn của khách hàng,131,,"2,175,360,756,582","1,980,314,700,457"
2. Trả trước cho người bán ngắn hạn,132,,"2,536,341,292,328","2,327,714,818,742"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"24,858,500,000","215,317,000,000"
6. Phải thu ngắn hạn khác,136,,"304,095,971,838","266,865,229,237"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-68,395,860,583","-75,417,218,602"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"2,697,449,410,296","3,971,722,969,990"
1. Hàng tồn kho,141,,"2,707,140,104,724","4,009,377,285,392"
2. Dự phòng giảm giá hàng tồn kho,149,,"-9,690,694,428","-37,654,315,402"
V.Tài sản ngắn hạn khác,150,,"410,755,583,937","187,459,153,897"
1. Chi phí trả trước ngắn hạn,151,,"369,645,668,640","126,639,033,019"
2. Thuế GTGT được khấu trừ,152,,"21,667,956,514","45,214,465,625"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"19,441,958,783","15,605,655,253"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"7,216,390,384,789","7,880,275,890,655"
I. Các khoản phải thu dài hạn,210,,"481,854,291,976","542,698,458,694"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"129,752,772,389","129,111,796,826"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"352,101,519,587","413,586,661,868"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"4,477,327,793,506","4,698,440,525,940"
1. Tài sản cố định hữu hình,221,,"4,296,828,104,312","4,506,630,843,371"
- Nguyên giá,222,,"8,548,958,641,478","8,483,696,268,432"
- Giá trị hao mòn lũy kế,223,,"-4,252,130,537,166","-3,977,065,425,061"
2. Tài sản cố định thuê tài chính,224,,"108,987,996,208","119,133,104,380"
- Nguyên giá,225,,"144,457,419,292","151,725,361,276"
- Giá trị hao mòn lũy kế,226,,"-35,469,423,084","-32,592,256,896"
3. Tài sản cố định vô hình,227,,"71,511,692,986","72,676,578,189"
- Nguyên giá,228,,"108,572,945,120","106,932,919,031"
- Giá trị hao mòn lũy kế,229,,"-37,061,252,134","-34,256,340,842"
III. Bất động sản đầu tư,230,,"176,741,883,844","181,161,531,163"
- Nguyên giá,231,,"205,807,780,825","205,807,780,825"
- Giá trị hao mòn lũy kế,232,,"-29,065,896,981","-24,646,249,662"
IV. Tài sản dở dang dài hạn,240,,"197,633,771,891","134,062,023,484"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"197,633,771,891","134,062,023,484"
V. Đầu tư tài chính dài hạn,250,,"299,777,811,560","637,130,825,071"
1. Đầu tư vào công ty con,251,,0,0
