Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"6,157,189,124,622","5,664,075,592,337",,
2. Các khoản giảm trừ doanh thu,02,,"9,951,773,126","5,804,662,399",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"6,147,237,351,496","5,658,270,929,938",,
4. Giá vốn hàng bán,11,,"5,780,706,717,019","5,368,680,347,107",,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"366,530,634,477","289,590,582,831",,
6. Doanh thu hoạt động tài chính,21,,"577,501,637,971","463,175,208,370",,
7. Chi phí tài chính,22,,"418,559,230,363","425,975,313,084",,
- Trong đó: Chi phí lãi vay,23,,"316,062,724,166","349,085,558,661",,
"8. Phần Lãi lỗ trong công ty liên doanh, liên kết",24,,"-6,213,192,882","2,299,022,550",,
9. Chi phí bán hàng,25,,"193,105,562,685","179,506,636,503",,
10. Chi phí quản lý doanh nghiệp,26,,"215,585,766,617","185,539,732,479",,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"110,568,519,901","-35,956,868,315",,
12. Thu nhập khác,31,,"20,078,606,082","123,524,850,531",,
13. Chi phí khác,32,,"13,004,824,011","23,708,743,396",,
14. Lợi nhuận khác(40=31-32),40,,"7,073,782,071","99,816,107,135",,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"117,642,301,972","63,859,238,820",,
16. Chi phí thuế TNDN hiện hành,51,,"64,341,877,711","70,904,295,317",,
17. Chi phí thuế TNDN hoãn lại,52,,"1,786,554,550","-9,125,285,965",,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"51,513,869,711","2,080,229,468",,
19. Lợi nhuận sau thuế của công ty mẹ,61,,"57,675,130,645","4,203,696,543",,
20.Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-6,161,260,934","-2,123,467,075",,
21. Lãi cơ bản trên cổ phiếu(*),70,,72,-2,,
22. Lãi suy giảm trên cổ phiếu (*),71,,71,-2,,
