Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"579,955,396,082","332,854,708,936"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"221,832,154,643","248,583,114,640"
- Các khoản dự phòng,03,,"25,981,647,173","-30,109,335,059"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-3,711,121,424","4,219,939,424"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-61,914,197,309","-117,306,698,907"
- Chi phí lãi vay,06,,"380,817,476,589","308,246,105,446"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"1,142,961,355,754","746,487,834,480"
"- Tăng, giảm các khoản phải thu",09,,0,0
"- Tăng, giảm hàng tồn kho",10,,"146,739,409,078","409,958,673,262"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"1,216,149,162,834","899,196,629,632"
"- Tăng, giảm chi phí trả trước",12,,"103,277,701,945","-138,772,451,475"
"- Tăng, giảm chứng khoán kinh doanh",13,,"-148,989,456,550","-285,483,390,757"
- Tiền lãi vay đã trả,14,,"-409,900,448,027","-307,144,171,459"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-114,235,524,377","-134,168,375,491"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-26,728,006,416","-1,405,213,955"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"1,317,667,062,958","512,323,144,222"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-178,662,425,846","-177,363,286,021"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"48,097,172,568","5,917,160,946"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-688,519,514,296","-364,784,731,804"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"80,000,000,000","30,000,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,"-1,437,887,231,567","-267,877,123,785"
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,"18,448,521,361"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"143,322,847,090","89,717,597,218"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-2,033,649,152,051","-665,941,862,085"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,"510,029,487,530","304,175,950,000"
2.Tiền trả lại vốn góp cho các chủ sở hữu mua lại cổ phiếu của doanh nghiệp đã phát hành,32,,0,0
3.Tiền thu từ đi vay,33,,"8,196,671,008,919","9,938,078,485,722"
4.Tiền chi trả nợ gốc vay,34,,"-7,561,309,736,266","-9,750,062,811,666"
5.Tiền trả nợ gốc thuê tài chính,35,,"-15,450,802,754","-29,981,489,531"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-71,687,519,651","-328,911,570,275"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,..37,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"1,058,252,437,778","133,298,564,250"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"342,270,348,685","-20,320,153,613"
Tiền và tương đương tiền đầu kỳ,60,,"1,823,297,113,682","999,620,661,512"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"8,269,882,728","312,940,149"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"2,173,837,345,095","979,613,448,048"
