Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"24,200,170,293,732","20,047,095,396,345"
I. Tiền và các khoản tương đương tiền,110,,"4,587,680,404,674","3,146,177,234,431"
1. Tiền,111,,"1,223,136,764,770","1,505,660,355,272"
2. Các khoản tương đương tiền,112,,"3,364,543,639,904","1,640,516,879,159"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"2,697,363,253,172","2,528,431,661,031"
1. Chứng khoán kinh doanh,121,,"812,192,003,340","802,315,142,993"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-94,802,130,947","-68,136,531,097"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"1,979,973,380,779","1,794,253,049,135"
III. Các khoản phải thu ngắn hạn,130,,"13,351,350,022,049","9,733,674,362,672"
1. Phải thu ngắn hạn của khách hàng,131,,"2,745,461,724,631","1,936,035,828,333"
2. Trả trước cho người bán ngắn hạn,132,,"6,623,612,705,281","5,113,411,686,341"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"698,792,549,712","87,204,500,000"
6. Phải thu ngắn hạn khác,136,,"3,376,650,213,168","2,692,578,524,016"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-93,287,884,288","-95,668,882,441"
8. Tài sản Thiếu chờ xử lý,139,,"120,713,545","112,706,423"
IV. Hàng tồn kho,140,,"3,439,520,469,686","4,504,475,953,178"
1. Hàng tồn kho,141,,"3,471,042,593,391","4,535,267,942,966"
2. Dự phòng giảm giá hàng tồn kho,149,,"-31,522,123,705","-30,791,989,788"
V.Tài sản ngắn hạn khác,150,,"124,256,144,151","134,336,185,033"
1. Chi phí trả trước ngắn hạn,151,,"26,721,677,125","11,575,019,214"
2. Thuế GTGT được khấu trừ,152,,"83,979,942,723","109,419,656,234"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"13,554,524,303","13,341,509,585"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"9,934,794,583,971","9,887,191,021,283"
I. Các khoản phải thu dài hạn,210,,"508,301,688,355","488,414,799,454"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"93,256,248,221","91,186,689,876"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"454,726,315,609","436,908,985,053"
7. Dự phòng phải thu dài hạn khó đòi,219,,"-39,680,875,475","-39,680,875,475"
II.Tài sản cố định,220,,"3,997,185,523,802","4,154,508,656,534"
1. Tài sản cố định hữu hình,221,,"2,989,823,267,186","3,172,415,080,838"
- Nguyên giá,222,,"8,963,779,473,554","8,944,729,467,451"
- Giá trị hao mòn lũy kế,223,,"-5,973,956,206,368","-5,772,314,386,613"
2. Tài sản cố định thuê tài chính,224,,"111,197,638,397","105,467,370,729"
- Nguyên giá,225,,"151,364,997,469","141,179,298,450"
- Giá trị hao mòn lũy kế,226,,"-40,167,359,072","-35,711,927,721"
3. Tài sản cố định vô hình,227,,"896,164,618,219","876,626,204,967"
- Nguyên giá,228,,"1,171,497,972,200","1,102,470,682,653"
- Giá trị hao mòn lũy kế,229,,"-275,333,353,981","-225,844,477,686"
III. Bất động sản đầu tư,230,,"572,368,033,564","573,085,200,055"
- Nguyên giá,231,,"673,485,355,166","667,131,656,783"
- Giá trị hao mòn lũy kế,232,,"-101,117,321,602","-94,046,456,728"
IV. Tài sản dở dang dài hạn,240,,"500,710,403,918","318,876,398,953"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"500,710,403,918","318,876,398,953"
V. Đầu tư tài chính dài hạn,250,,"3,016,749,240,069","2,995,626,414,233"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"2,539,691,282,570","2,485,598,941,859"
3. Đầu tư góp vốn vào đơn vị khác,253,,"338,020,187,366","337,489,702,241"
4. Dự phòng đầu tư tài chính dài hạn,254,,"-55,142,229,867","-55,142,229,867"
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"194,180,000,000","227,680,000,000"
VI. Tài sản dài hạn khác,260,,"1,339,479,694,263","1,356,679,552,054"
1. Chi phí trả trước dài hạn,261,,"1,245,964,508,674","1,237,848,730,213"
2. Tài sản thuế thu nhập hoãn lại,262,,"11,927,806,283","25,736,212,001"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,,"25,000,000"
5. Lợi thế thương mại,269,,"81,587,379,306","93,069,609,840"
TỔNG CỘNG TÀI SẢN,270,,"34,134,964,877,703","29,934,286,417,628"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"23,001,530,445,228","19,430,643,029,861"
I. Nợ ngắn hạn,310,,"20,031,221,717,450","17,196,872,130,583"
1. Phải trả người bán ngắn hạn,311,,"870,888,970,398","849,643,417,897"
2. Người mua trả tiền trước ngắn hạn,312,,"1,646,250,392,521","676,053,234,258"
3. Thuế và các khoản phải nộp nhà nước,313,,"148,959,872,825","203,235,146,653"
4. Phải trả người lao động,314,,"37,309,804,724","59,012,236,385"
5. Chi phí phải trả ngắn hạn,315,,"506,184,364,135","480,242,809,601"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"18,070,446,815","19,932,228,694"
9. Phải trả ngắn hạn khác,319,,"4,113,645,321,869","3,752,664,247,542"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"12,669,935,418,042","11,107,312,778,411"
11. Dự phòng phải trả ngắn hạn,321,,"133,314,703","131,866,543"
12. Quỹ khen thưởng phúc lợi,322,,"19,843,811,418","48,644,164,599"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"2,970,308,727,778","2,233,770,899,278"
1. Phải trả người bán dài hạn,331,,0,0
