Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"18,026,635,002,596","12,577,330,513,959"
I. Tiền và các khoản tương đương tiền,110,,"2,563,428,628,818","1,823,297,113,682"
1. Tiền,111,,"1,045,948,713,885","1,008,162,514,798"
2. Các khoản tương đương tiền,112,,"1,517,479,914,933","815,134,598,884"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"2,031,295,970,757","1,239,955,689,130"
1. Chứng khoán kinh doanh,121,,"805,847,032,896","671,893,844,171"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-29,749,551,218","-67,055,613,671"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"1,255,198,489,079","635,117,458,630"
III. Các khoản phải thu ngắn hạn,130,,"8,661,533,528,748","6,219,459,439,416"
1. Phải thu ngắn hạn của khách hàng,131,,"2,264,315,360,440","1,439,713,356,060"
2. Trả trước cho người bán ngắn hạn,132,,"4,202,090,238,075","3,018,336,296,112"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"42,500,000,000","272,662,918"
6. Phải thu ngắn hạn khác,136,,"2,254,572,320,867","1,811,707,695,287"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-101,944,390,634","-50,570,570,961"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"4,625,727,670,410","3,158,779,109,857"
1. Hàng tồn kho,141,,"4,646,911,718,184","3,176,587,967,128"
2. Dự phòng giảm giá hàng tồn kho,149,,"-21,184,047,774","-17,808,857,271"
V.Tài sản ngắn hạn khác,150,,"144,649,203,863","135,839,161,874"
1. Chi phí trả trước ngắn hạn,151,,"19,147,065,171","25,488,691,285"
2. Thuế GTGT được khấu trừ,152,,"113,012,144,966","97,009,072,862"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"12,489,993,726","13,341,397,727"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"9,703,733,029,991","7,893,568,735,300"
I. Các khoản phải thu dài hạn,210,,"327,153,754,046","134,910,654,507"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"174,131,796,885","97,009,546,692"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"88,050,000,000","3,085,633,364"
6. Phải thu dài hạn khác,216,,"105,668,184,092","77,766,758,024"
7. Dự phòng phải thu dài hạn khó đòi,219,,"-40,696,226,931","-42,951,283,573"
II.Tài sản cố định,220,,"4,522,276,606,509","3,922,472,696,557"
1. Tài sản cố định hữu hình,221,,"3,499,712,562,459","3,495,944,778,665"
- Nguyên giá,222,,"8,830,391,561,027","8,315,932,564,826"
- Giá trị hao mòn lũy kế,223,,"-5,330,678,998,568","-4,819,987,786,161"
2. Tài sản cố định thuê tài chính,224,,"78,982,362,310","96,193,621,914"
- Nguyên giá,225,,"109,925,772,534","114,851,907,684"
- Giá trị hao mòn lũy kế,226,,"-30,943,410,224","-18,658,285,770"
3. Tài sản cố định vô hình,227,,"943,581,681,740","330,334,295,978"
- Nguyên giá,228,,"1,071,410,612,444","407,760,556,202"
- Giá trị hao mòn lũy kế,229,,"-127,828,930,704","-77,426,260,224"
III. Bất động sản đầu tư,230,,"582,208,856,785","577,878,136,995"
- Nguyên giá,231,,"664,162,165,461","633,621,394,024"
- Giá trị hao mòn lũy kế,232,,"-81,953,308,676","-55,743,257,029"
IV. Tài sản dở dang dài hạn,240,,"315,556,182,532","404,248,687,906"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"315,556,182,532","404,248,687,906"
V. Đầu tư tài chính dài hạn,250,,"2,552,735,467,068","1,411,279,203,604"
1. Đầu tư vào công ty con,251,,0,0
