Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"10,248,237,174,933","10,030,796,116,425"
I. Tiền và các khoản tương đương tiền,110,,"980,270,182,736","999,620,661,512"
1. Tiền,111,,"610,576,695,865","799,320,661,512"
2. Các khoản tương đương tiền,112,,"369,693,486,871","200,300,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"1,525,093,233,604","899,284,845,919"
1. Chứng khoán kinh doanh,121,,"673,422,144,456","403,156,950,516"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-22,041,922,496","-43,067,104,597"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"873,713,011,644","539,195,000,000"
III. Các khoản phải thu ngắn hạn,130,,"5,276,717,222,963","5,447,159,078,206"
1. Phải thu ngắn hạn của khách hàng,131,,"999,471,812,507","1,026,526,902,684"
2. Trả trước cho người bán ngắn hạn,132,,"2,616,353,046,563","2,522,123,757,499"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"278,486,270","673,291,034"
6. Phải thu ngắn hạn khác,136,,"1,696,307,456,408","1,937,434,918,704"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-35,693,578,785","-39,599,791,715"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"2,121,467,126,844","2,529,346,657,059"
1. Hàng tồn kho,141,,"2,126,564,967,949","2,541,154,800,749"
2. Dự phòng giảm giá hàng tồn kho,149,,"-5,097,841,105","-11,808,143,690"
V.Tài sản ngắn hạn khác,150,,"344,689,408,786","155,384,873,729"
1. Chi phí trả trước ngắn hạn,151,,"226,589,492,934","48,619,538,175"
2. Thuế GTGT được khấu trừ,152,,"99,359,407,422","92,081,678,271"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"18,740,508,430","14,683,657,283"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"8,048,411,027,991","7,924,922,667,487"
I. Các khoản phải thu dài hạn,210,,"109,945,591,638","101,806,889,451"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"84,116,374,964","92,623,661,450"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"25,829,216,674","9,183,228,001"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"4,127,361,724,904","4,179,804,562,879"
1. Tài sản cố định hữu hình,221,,"3,706,419,987,793","3,844,903,217,562"
- Nguyên giá,222,,"8,526,870,924,323","8,484,840,315,880"
- Giá trị hao mòn lũy kế,223,,"-4,820,450,936,530","-4,639,937,098,318"
2. Tài sản cố định thuê tài chính,224,,"95,993,258,860","108,160,541,664"
- Nguyên giá,225,,"108,032,900,287","140,481,291,500"
- Giá trị hao mòn lũy kế,226,,"-12,039,641,427","-32,320,749,836"
3. Tài sản cố định vô hình,227,,"324,948,478,251","226,740,803,653"
- Nguyên giá,228,,"392,076,430,331","284,497,398,107"
- Giá trị hao mòn lũy kế,229,,"-67,127,952,080","-57,756,594,454"
III. Bất động sản đầu tư,230,,"584,028,686,362","592,437,897,729"
- Nguyên giá,231,,"634,596,452,719","638,075,095,511"
- Giá trị hao mòn lũy kế,232,,"-50,567,766,357","-45,637,197,782"
IV. Tài sản dở dang dài hạn,240,,"423,721,296,811","341,526,808,768"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"423,721,296,811","341,526,808,768"
V. Đầu tư tài chính dài hạn,250,,"1,384,680,414,849","1,245,605,087,900"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"620,549,795,599","381,424,975,548"
3. Đầu tư góp vốn vào đơn vị khác,253,,"677,545,903,239","767,001,478,655"
4. Dự phòng đầu tư tài chính dài hạn,254,,"-4,095,283,989","-2,001,366,303"
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"90,680,000,000","99,180,000,000"
VI. Tài sản dài hạn khác,260,,"1,418,673,313,427","1,463,741,420,760"
1. Chi phí trả trước dài hạn,261,,"1,281,361,206,743","1,319,693,751,650"
2. Tài sản thuế thu nhập hoãn lại,262,,"13,602,091,597","10,072,275,631"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,"123,710,015,087","133,975,393,479"
TỔNG CỘNG TÀI SẢN,270,,"18,296,648,202,924","17,955,718,783,912"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"10,376,314,961,074","10,313,417,423,502"
I. Nợ ngắn hạn,310,,"7,968,243,126,368","8,807,443,159,566"
1. Phải trả người bán ngắn hạn,311,,"1,008,147,443,887","585,381,760,110"
2. Người mua trả tiền trước ngắn hạn,312,,"121,104,266,877","145,426,604,808"
3. Thuế và các khoản phải nộp nhà nước,313,,"87,091,196,460","178,370,150,839"
4. Phải trả người lao động,314,,"10,121,969,924","16,613,110,146"
