Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"5,004,339,787,107","3,911,610,329,176","9,323,293,240,608","7,571,560,192,481"
2. Các khoản giảm trừ doanh thu,02,,"14,146,071,723","184,783,999","21,160,234,600","3,804,662,313"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"4,990,193,715,384","3,911,425,545,177","9,302,133,006,008","7,567,755,530,168"
4. Giá vốn hàng bán,11,,"4,325,875,738,946","3,374,616,643,107","8,140,369,986,473","6,566,344,863,891"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"664,317,976,438","536,808,902,070","1,161,763,019,535","1,001,410,666,277"
6. Doanh thu hoạt động tài chính,21,,"336,641,175,005","129,445,266,581","682,830,384,404","201,988,969,620"
7. Chi phí tài chính,22,,"171,235,844,568","214,435,437,989","473,571,044,052","425,795,265,224"
- Trong đó: Chi phí lãi vay,23,,"176,591,997,070","142,959,511,402","369,026,798,973","308,246,105,446"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"-138,437,719","18,862,302,382","8,098,488,164","12,918,980,850"
9. Chi phí bán hàng,25,,"186,312,725,846","173,880,132,790","330,856,979,486","280,917,340,292"
10. Chi phí quản lý doanh nghiệp,26,,"169,600,791,571","100,838,404,653","317,435,122,051","176,099,456,266"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"473,671,351,739","195,962,495,601","730,828,746,514","333,506,554,965"
12. Thu nhập khác,31,,"10,667,379,658","6,080,671,957","26,136,605,131","19,095,436,059"
13. Chi phí khác,32,,"173,477,534,490","3,240,182,810","183,622,021,318","19,747,282,088"
14. Lợi nhuận khác(40=31-32),40,,"-162,810,154,832","2,840,489,147","-157,485,416,187","-651,846,029"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"310,861,196,907","198,802,984,748","573,343,330,327","332,854,708,936"
16. Chi phí thuế TNDN hiện hành,51,,"78,309,623,549","14,380,118,383","146,064,504,661","45,603,433,560"
17. Chi phí thuế TNDN hoãn lại,52,,"-8,715,453,802","1,322,033,471","-8,846,781,089","306,763,749"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"241,267,027,160","183,100,832,894","436,125,606,755","286,944,511,627"
19. Lợi nhuận sau thuế công ty mẹ,61,,"214,818,775,764","181,408,975,574","409,936,525,314","280,071,803,894"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"-5,402,053,714","1,691,857,320","-5,661,223,668","6,872,707,733"
21. Lãi cơ bản trên cổ phiếu(*),70,,306,256,553,364
22. Lãi suy giảm trên cổ phiếu (*),71,,298,244,524,353
