Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"573,343,330,328","332,854,708,936"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"280,751,540,457","248,583,114,640"
- Các khoản dự phòng,03,,"46,437,379,931","-30,109,335,059"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-3,711,121,424","4,219,939,424"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-172,827,696,151","-117,306,698,907"
- Chi phí lãi vay,06,,"369,026,798,973","308,246,105,446"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"1,093,020,232,113","746,487,834,480"
"- Tăng, giảm các khoản phải thu",09,,"-850,920,234,837","-676,346,390,015"
"- Tăng, giảm hàng tồn kho",10,,"106,396,297,654","409,958,673,262"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"1,490,406,227,675","899,196,629,632"
"- Tăng, giảm chi phí trả trước",12,,"89,004,877,744","-138,772,451,475"
"- Tăng, giảm chứng khoán kinh doanh",13,,"-148,989,456,550","-285,483,390,757"
- Tiền lãi vay đã trả,14,,"-362,300,218,767","-307,144,171,459"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-106,013,691,969","-134,168,375,491"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-25,570,200,997","-1,405,213,955"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"1,285,033,832,066","512,323,144,222"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-178,662,425,846","-177,363,286,021"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"48,097,172,568","5,917,160,946"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-497,928,152,989","-364,784,731,804"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"3,358,296,282","30,000,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,"-1,526,611,937,901","-267,877,123,785"
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,"545,894,862,000","18,448,521,361"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"228,337,533,539","89,717,597,218"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-1,377,514,652,346","-665,941,862,085"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,"304,175,950,000"
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"8,282,246,426,160","9,938,078,485,722"
4.Tiền chi trả nợ gốc vay,34,,"-7,529,493,634,096","-9,750,062,811,666"
5.Tiền chi trả nợ gốc thuê tài chính,35,,"-15,450,802,754","-29,981,489,531"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-74,675,860,373","-328,911,570,275"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"662,626,128,937","133,298,564,250"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"570,145,308,657","-20,320,153,613"
Tiền và tương đương tiền đầu kỳ,60,,"1,823,297,113,682","999,620,661,512"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"8,269,882,728","312,940,149"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"2,401,712,305,067","979,613,448,048"
