Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"17,558,435,985,252","18,026,635,002,596"
I. Tiền và các khoản tương đương tiền,110,,"2,479,054,657,119","2,563,428,628,818"
1. Tiền,111,,"1,044,152,931,474","1,045,948,713,885"
2. Các khoản tương đương tiền,112,,"1,434,901,725,645","1,517,479,914,933"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"2,216,000,840,691","2,031,295,970,757"
1. Chứng khoán kinh doanh,121,,"805,858,183,936","805,847,032,896"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-39,915,521,218","-29,749,551,218"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"1,450,058,177,973","1,255,198,489,079"
III. Các khoản phải thu ngắn hạn,130,,"9,062,131,263,370","8,661,533,528,748"
1. Phải thu ngắn hạn của khách hàng,131,,"2,268,931,189,549","2,264,315,360,440"
2. Trả trước cho người bán ngắn hạn,132,,"4,693,041,367,496","4,202,090,238,075"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"20,914,500,000","42,500,000,000"
6. Phải thu ngắn hạn khác,136,,"2,162,513,084,312","2,254,572,320,867"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-83,268,877,987","-101,944,390,634"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"3,691,665,043,253","4,625,727,670,410"
1. Hàng tồn kho,141,,"3,712,571,229,971","4,646,911,718,184"
2. Dự phòng giảm giá hàng tồn kho,149,,"-20,906,186,718","-21,184,047,774"
V.Tài sản ngắn hạn khác,150,,"109,584,180,819","144,649,203,863"
1. Chi phí trả trước ngắn hạn,151,,"20,085,665,230","19,147,065,171"
2. Thuế GTGT được khấu trừ,152,,"77,473,577,989","113,012,144,966"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"12,024,937,600","12,489,993,726"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"10,321,416,171,554","9,703,733,029,991"
I. Các khoản phải thu dài hạn,210,,"623,623,869,226","327,153,754,046"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,"174,869,963,080","174,131,796,885"
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"82,950,000,000","88,050,000,000"
6. Phải thu dài hạn khác,216,,"406,500,133,077","105,668,184,092"
7. Dự phòng phải thu dài hạn khó đòi,219,,"-40,696,226,931","-40,696,226,931"
II.Tài sản cố định,220,,"4,403,446,934,180","4,522,276,606,509"
1. Tài sản cố định hữu hình,221,,"3,409,793,265,107","3,499,712,562,459"
- Nguyên giá,222,,"8,889,243,113,583","8,830,391,561,027"
- Giá trị hao mòn lũy kế,223,,"-5,479,449,848,476","-5,330,678,998,568"
2. Tài sản cố định thuê tài chính,224,,"75,816,800,815","78,982,362,310"
- Nguyên giá,225,,"109,925,772,534","109,925,772,534"
- Giá trị hao mòn lũy kế,226,,"-34,108,971,719","-30,943,410,224"
3. Tài sản cố định vô hình,227,,"917,836,868,258","943,581,681,740"
- Nguyên giá,228,,"1,071,440,345,510","1,071,410,612,444"
- Giá trị hao mòn lũy kế,229,,"-153,603,477,252","-127,828,930,704"
III. Bất động sản đầu tư,230,,"584,173,254,840","582,208,856,785"
- Nguyên giá,231,,"669,813,063,173","664,162,165,461"
- Giá trị hao mòn lũy kế,232,,"-85,639,808,333","-81,953,308,676"
IV. Tài sản dở dang dài hạn,240,,"356,074,629,620","315,556,182,532"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"356,074,629,620","315,556,182,532"
V. Đầu tư tài chính dài hạn,250,,"2,996,260,005,576","2,552,735,467,068"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"2,524,129,104,331","2,086,604,565,823"
3. Đầu tư góp vốn vào đơn vị khác,253,,"337,511,193,141","337,511,193,141"
4. Dự phòng đầu tư tài chính dài hạn,254,,"-39,060,291,896","-39,060,291,896"
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"173,680,000,000","167,680,000,000"
VI. Tài sản dài hạn khác,260,,"1,357,837,478,112","1,403,802,163,051"
1. Chi phí trả trước dài hạn,261,,"1,213,852,188,748","1,254,075,758,420"
2. Tài sản thuế thu nhập hoãn lại,262,,"33,692,333,723","33,692,333,723"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,"110,292,955,641","116,034,070,908"
TỔNG CỘNG TÀI SẢN,270,,"27,879,852,156,806","27,730,368,032,587"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"17,944,909,820,067","18,061,488,986,946"
I. Nợ ngắn hạn,310,,"15,205,471,986,548","15,294,959,798,595"
1. Phải trả người bán ngắn hạn,311,,"1,286,633,351,578","1,844,553,834,849"
2. Người mua trả tiền trước ngắn hạn,312,,"768,401,778,640","1,266,318,911,956"
3. Thuế và các khoản phải nộp nhà nước,313,,"220,000,756,132","214,150,704,785"
4. Phải trả người lao động,314,,"31,870,567,658","95,629,105,751"
5. Chi phí phải trả ngắn hạn,315,,"376,569,869,033","488,396,403,518"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"9,232,622,433","8,721,149,949"
9. Phải trả ngắn hạn khác,319,,"3,762,212,468,023","2,611,268,408,413"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"8,734,140,118,359","8,713,304,113,308"
11. Dự phòng phải trả ngắn hạn,321,,"80,661,588","80,661,588"
12. Quỹ khen thưởng phúc lợi,322,,"16,329,793,104","52,536,504,478"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"2,739,437,833,519","2,766,529,188,351"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,"39,588,636,571","2,473,720,188"
7. Phải trả dài hạn khác,337,,"39,195,771,477","38,410,930,722"
8. Vay và nợ thuê tài chính dài hạn,338,,"2,406,024,928,872","2,467,783,095,223"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,"233,336,208,081","236,383,025,700"
12. Dự phòng phải trả dài hạn,342,,"21,292,288,518","21,478,416,518"
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"9,934,942,336,739","9,668,879,045,641"
I. Vốn chủ sở hữu,410,,"9,935,561,252,076","9,669,036,362,930"
1. Vốn góp của chủ sở hữu,411,,"6,507,622,280,000","6,507,622,280,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"6,291,508,950,000","6,291,508,950,000"
- Cổ phiếu ưu đãi,411b,,"216,113,330,000","216,113,330,000"
2. Thặng dư vốn cổ phần,412,,"6,770,104,566,476","6,770,104,566,476"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,"-5,502,116,030,924","-5,502,116,030,924"
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,"-450,297,890,692","-451,150,658,374"
8. Quỹ đầu tư phát triển,418,,"46,514,443,226","60,984,031,761"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,"1,678,810,273,144","1,434,515,692,820"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"1,472,440,055,525","730,203,551,024"
- LNST chưa phân phối kỳ này,421b,,"206,370,217,619","704,312,141,796"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,"884,923,610,846","849,076,481,171"
II. Nguồn kinh phí và quỹ khác,430,,"-618,915,337","-157,317,289"
1. Nguồn kinh phí,431,,"-618,915,337","-157,317,289"
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"27,879,852,156,806","27,730,368,032,587"
