Chỉ tiêu,Mã số,Thuyết minh,Kỳ này Năm nay,Kỳ này Năm trước,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,01,,"6,981,132,221,733","5,003,681,044,645","12,305,109,876,169","9,322,634,498,146"
2. Các khoản giảm trừ doanh thu,02,,"9,382,376,585","14,117,536,814","24,403,930,081","21,131,699,691"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,"6,971,749,845,148","4,989,563,507,831","12,280,705,946,088","9,301,502,798,455"
4. Giá vốn hàng bán,11,,"6,384,728,596,652","4,322,383,254,433","11,027,849,144,478","8,136,877,501,960"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),20,,"587,021,248,496","667,180,253,398","1,252,856,801,610","1,164,625,296,495"
6. Doanh thu hoạt động tài chính,21,,"297,152,834,678","327,088,356,892","556,675,789,595","673,277,566,291"
7. Chi phí tài chính,22,,"414,029,947,508","165,284,337,707","753,556,972,449","467,619,537,191"
- Trong đó: Chi phí lãi vay,23,,"308,626,110,413","188,382,674,686","540,779,702,433","380,817,476,589"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",24,,"7,130,619,968","-138,454,126","3,131,850,477","8,098,471,757"
9. Chi phí bán hàng,25,,"170,230,920,296","186,424,409,393","328,861,993,308","330,968,663,033"
10. Chi phí quản lý doanh nghiệp,26,,"143,116,506,728","170,924,404,914","280,133,678,288","318,758,735,394"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},30,,"163,927,328,610","471,497,004,150","450,111,797,637","728,654,398,925"
12. Thu nhập khác,31,,"23,936,172,307","15,967,456,988","47,939,241,723","31,436,682,461"
13. Chi phí khác,32,,"37,844,485,123","169,991,198,476","65,753,980,924","180,135,685,304"
14. Lợi nhuận khác(40=31-32),40,,"-13,908,312,816","-154,023,741,488","-17,814,739,201","-148,699,002,843"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),50,,"150,019,015,794","317,473,262,662","432,297,058,436","579,955,396,082"
16. Chi phí thuế TNDN hiện hành,51,,"31,236,773,002","76,894,691,514","54,845,770,110","144,649,572,626"
17. Chi phí thuế TNDN hoãn lại,52,,"-3,363,400,645","-5,312,626,040","-6,410,218,264","-5,443,953,327"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),60,,"122,145,643,437","245,891,197,188","383,861,506,590","440,749,776,783"
19. Lợi nhuận sau thuế công ty mẹ,61,,"103,547,854,050","261,342,716,753","329,416,587,529","456,460,466,303"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,62,,"18,597,789,387","-15,451,519,565","54,444,919,062","-15,710,689,520"
21. Lãi cơ bản trên cổ phiếu(*),70,,81,345,408,610
22. Lãi suy giảm trên cổ phiếu (*),71,,81,335,408,594
