Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"24,306,121,751,392","20,047,095,396,345"
I. Tiền và các khoản tương đương tiền,110,,"4,445,072,485,860","3,146,177,234,431"
1. Tiền,111,,"1,309,926,337,361","1,505,660,355,272"
2. Các khoản tương đương tiền,112,,"3,135,146,148,499","1,640,516,879,159"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"3,241,965,294,708","2,528,431,661,031"
1. Chứng khoán kinh doanh,121,,"812,192,003,340","802,315,142,993"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,"-84,431,685,747","-68,136,531,097"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"2,514,204,977,115","1,794,253,049,135"
III. Các khoản phải thu ngắn hạn,130,,"12,003,366,497,012","9,733,674,362,672"
1. Phải thu ngắn hạn của khách hàng,131,,"2,556,747,024,523","1,936,035,828,333"
2. Trả trước cho người bán ngắn hạn,132,,"5,360,648,611,755","5,113,411,686,341"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"726,135,495,849","87,204,500,000"
6. Phải thu ngắn hạn khác,136,,"3,455,456,518,753","2,692,578,524,016"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-96,591,389,087","-95,668,882,441"
8. Tài sản Thiếu chờ xử lý,139,,"970,235,219","112,706,423"
IV. Hàng tồn kho,140,,"4,495,554,285,277","4,504,475,953,178"
1. Hàng tồn kho,141,,"4,527,186,442,680","4,535,267,942,966"
2. Dự phòng giảm giá hàng tồn kho,149,,"-31,632,157,403","-30,791,989,788"
V.Tài sản ngắn hạn khác,150,,"120,163,188,535","134,336,185,033"
1. Chi phí trả trước ngắn hạn,151,,"27,240,449,906","11,575,019,214"
2. Thuế GTGT được khấu trừ,152,,"77,587,501,392","109,419,656,234"
