Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"708,702,471,734","1,045,572,400,381"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"566,388,612,550","510,336,527,132"
- Các khoản dự phòng,03,,"42,839,202,507","35,106,950,245"
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-3,794,742,695","24,044,710,710"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-733,685,285,184","-432,196,447,031"
- Chi phí lãi vay,06,,"1,451,483,515,063","813,904,183,931"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"2,031,933,773,975","1,996,768,325,368"
"- Tăng, giảm các khoản phải thu",09,,"-1,213,713,258,827","-2,006,640,131,070"
"- Tăng, giảm hàng tồn kho",10,,"125,353,790,260","-1,390,328,704,434"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"1,283,253,942,910","3,803,680,715,953"
"- Tăng, giảm chi phí trả trước",12,,"3,992,199,865","-24,611,417,316"
"- Tăng, giảm chứng khoán kinh doanh",13,,"3,528,564,989","-133,953,188,725"
- Tiền lãi vay đã trả,14,,"-1,391,888,406,514","-821,447,108,305"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-122,157,842,190","-170,067,959,123"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-55,535,686,277","-78,707,273,653"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"618,013,790,547","1,174,693,258,695"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-255,646,967,631","-142,288,857,489"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,"37,280,256,784","17,667,588,101"
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-645,438,333,198","-679,808,367,531"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,"97,485,500,000","10,500,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,"-78,380,716,000","-2,071,976,495,190"
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,"2,836,625,000","26,918,402,524"
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"310,138,964,488","219,885,090,336"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-531,724,670,557","-2,619,102,639,249"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,"110,067,865,736","545,914,862,000"
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"26,240,874,848,968","19,135,795,556,870"
4.Tiền chi trả nợ gốc vay,34,,"-25,749,061,968,574","-17,390,532,916,145"
5.Tiền chi trả nợ gốc thuê tài chính,35,,"-19,114,273,466","-32,855,986,556"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-77,809,392,085","-71,764,375,915"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"504,957,080,579","2,186,557,140,254"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"591,246,200,569","742,147,759,700"
Tiền và tương đương tiền đầu kỳ,60,,"2,563,428,628,818","1,823,297,113,682"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"-585,628,717","-2,016,244,564"
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"3,154,089,200,670","2,563,428,628,818"
